"Lipid","Feature","SumOfAllFragmentsIntensities","Class","Adduct"
"1_Cer_NDS(d18:0/24:0)+H","784",1309348.177,"Cer_NDS","[M+H]+"
"1_Co(Q10)+NH4","207",4294725,"CoQ","[M+NH4]+"
"1_DG(14:0_18:1)+NH4","1149",230115.0957,"DG","[M+NH4]+"
"1_DG(16:0_16:1)+NH4","1149",235869.811,"DG","[M+NH4]+"
"1_DG(16:0_18:1)+NH4","274",1270399.8666,"DG","[M+NH4]+"
"1_DG(16:0_18:2)+NH4","249",3899644.404,"DG","[M+NH4]+"
"1_DG(16:0_20:1)+NH4","1044",11259.198,"DG","[M+NH4]+"
"1_DG(16:0_20:2)+NH4","252",29677.6442,"DG","[M+NH4]+"
"1_DG(16:0_22:5)+NH4","609",59158.404,"DG","[M+NH4]+"
"1_DG(16:1_18:0)+NH4","274",19042.233,"DG","[M+NH4]+"
"1_DG(16:1_18:1)+NH4","249",556080.897,"DG","[M+NH4]+"
"1_DG(16:1_20:1)+NH4","252",6944.257,"DG","[M+NH4]+"
"1_DG(16:1_20:2)+NH4","172",21696.766,"DG","[M+NH4]+"
"1_DG(16:1_20:3)+NH4","354",25194.0835,"DG","[M+NH4]+"
"1_DG(18:0_18:1)+NH4","1044",508893.6867,"DG","[M+NH4]+"
"1_DG(18:0_18:2)+NH4","252",19912.833,"DG","[M+NH4]+"
"1_DG(18:0_18:3)+NH4","172",13240.13,"DG","[M+NH4]+"
"1_DG(18:1_18:1)+NH4","252",1927571.179,"DG","[M+NH4]+"
"1_DG(18:1_18:2)+NH4","172",5043137.845,"DG","[M+NH4]+"
"1_DG(18:1_18:2)+NH4","18293",6261.0675,"DG","[M+NH4]+"
"1_DG(18:1_18:3)+NH4","354",229768.3119,"DG","[M+NH4]+"
"1_DG(18:1_18:3)+NH4","1175",143396.44,"DG","[M+NH4]+"
"1_DG(18:1_20:4)+NH4","609",910954.833,"DG","[M+NH4]+"
"1_DG(18:2_18:2)+NH4","354",1628194.84,"DG","[M+NH4]+"
"1_DG(18:2_18:2)+NH4","1175",112628.8563,"DG","[M+NH4]+"
"1_DG(18:2_20:3)+NH4","609",71040.2101,"DG","[M+NH4]+"
"1_GlcCer_NS(d17:1/24:0)+H","1201",326422.2904,"GlcCer_NS","[M+H]+"
"1_GlcCer_NS(d18:1/16:0)+H","1123",594067.787,"GlcCer_NS","[M+H]+"
"1_GlcCer_NS(d18:1/23:0)+H","1201",799540.08,"GlcCer_NS","[M+H]+"
"1_GlcCer_NS(d18:1/24:0)+H","626",1222090.42,"GlcCer_NS","[M+H]+"
"1_GlcCer_NS(d18:1/24:1)+H","878",1274722.429,"GlcCer_NS","[M+H]+"
"1_GlcCer_NS(d19:1/22:0)+H","1201",277719.657,"GlcCer_NS","[M+H]+"
"1_LPC(14:0)+H","189",12727646.04,"LPC","[M+H]+"
"1_LPC(15:0)+H","254",7733556.87,"LPC","[M+H]+"
"1_LPC(15:0)+H","495",154562.596,"LPC","[M+H]+"
"1_LPC(15:1)+H","653",1832020.88,"LPC","[M+H]+"
"1_LPC(16:0)+H","6",453290515,"LPC","[M+H]+"
"1_LPC(16:0)+H","5408",111672.9532,"LPC","[M+H]+"
"1_LPC(16:1)+H","134",21433167.03,"LPC","[M+H]+"
"1_LPC(17:0)+H","27",120629010.1,"LPC","[M+H]+"
"1_LPC(17:1)+H","724",2146880.33,"LPC","[M+H]+"
"1_LPC(18:0)+H","14",260084611.1,"LPC","[M+H]+"
"1_LPC(18:1)+H","40",112566044.3,"LPC","[M+H]+"
"1_LPC(18:2)+H","19",185284005.7,"LPC","[M+H]+"
"1_LPC(18:3)+H","295",3435448.0099,"LPC","[M+H]+"
"1_LPC(18:3)+H","394",4227781.241,"LPC","[M+H]+"
"1_LPC(18:3)+H","1222",611841.84,"LPC","[M+H]+"
"1_LPC(19:0)+H","39",123376481.9,"LPC","[M+H]+"
"1_LPC(19:0)+H","327",7575694.7,"LPC","[M+H]+"
"1_LPC(20:0)+H","735",1650925.142,"LPC","[M+H]+"
"1_LPC(20:1)+H","531",2062908.653,"LPC","[M+H]+"
"1_LPC(20:2)+H","463",2160957.423,"LPC","[M+H]+"
"1_LPC(20:3)+H","152",10210706.32,"LPC","[M+H]+"
"1_LPC(20:3)+H","157",2548372.153,"LPC","[M+H]+"
"1_LPC(20:3)+H","964",748842.824,"LPC","[M+H]+"
"1_LPC(20:3)+H","12773",327151.419,"LPC","[M+H]+"
"1_LPC(20:4)+H","79",41192559.1,"LPC","[M+H]+"
"1_LPC(20:4)+H","425",1789046.714,"LPC","[M+H]+"
"1_LPC(20:4)+H","9312",17585.402,"LPC","[M+H]+"
"1_LPC(20:5)+H","277",3937366.8587,"LPC","[M+H]+"
"1_LPC(22:4)+H","1667",349500.773,"LPC","[M+H]+"
"1_LPC(22:5)+H","11264",2962863.015,"LPC","[M+H]+"
"1_LPC(22:6)+H","223",8411386.33,"LPC","[M+H]+"
"1_LPC(24:0)+H","1986",324985.0925,"LPC","[M+H]+"
"1_LPC(16:0)+Na","295",2819070.5,"LPC","[M+Na]+"
"1_LPC(16:0)+Na","999",523698.7183,"LPC","[M+Na]+"
"1_LPC(16:0)+Na","1222",529214.22,"LPC","[M+Na]+"
"1_LPC(17:0)+Na","262",3326548.2805,"LPC","[M+Na]+"
"1_LPC(18:0)+Na","152",7777472.093,"LPC","[M+Na]+"
"1_LPC(18:0)+Na","964",639799.024,"LPC","[M+Na]+"
"1_LPC(18:0)+Na","12773",276474.713,"LPC","[M+Na]+"
"1_LPC(18:1)+Na","425",1419614.7,"LPC","[M+Na]+"
"1_LPC(18:2)+Na","277",3248707.2,"LPC","[M+Na]+"
"1_LPC(19:0)+Na","210",4241779.2,"LPC","[M+Na]+"
"1_LPC(19:0)+Na","523",1256880.03,"LPC","[M+Na]+"
"1_LPC(20:0)+Na","940",728829.763,"LPC","[M+Na]+"
"1_LPC(20:1)+Na","1667",276488.197,"LPC","[M+Na]+"
"1_LPC(20:3)+Na","223",3444638.3,"LPC","[M+Na]+"
"1_LPE(16:0)+H","705",581564.265,"LPE","[M+H]+"
"1_LPE(18:0)+H","495",1083702.5,"LPE","[M+H]+"
"1_LPE(18:1)+H","653",682838.892,"LPE","[M+H]+"
"1_LPE(18:2)+H","458",1202211.08,"LPE","[M+H]+"
"1_LPE(20:4)+H","762",382756.483,"LPE","[M+H]+"
"1_LPE(22:4)+H","18857",14771.0765,"LPE","[M+H]+"
"1_MG(22:4)+NH4","433",1951617.986,"MG","[M+NH4]+"
"1_OxLPC(15:0(CHO))+Na","6673",1606599.05,"OxLPC","[M+Na]+"
"1_OxLPC(15:1(OH))+Na","6673",1606599.05,"OxLPC","[M+Na]+"
"1_OxPC(17:0_15:0(COOH))+H","200",112053.291,"OxPC","[M+H]+"
"1_OxPC(19:0_16:3(COOH))+H","2253",6355427.704,"OxPC","[M+H]+"
"1_OxPC(16:0_18:2(OH))","330",4024843.98,"OxPC","[M+H]+"
"1_OxPC(14:0_20:1(OH))","13186",160403.394,"OxPC","[M+H]+"
"1_OxPC(16:1_18:1(OH))","330",4029338.735,"OxPC","[M+H]+"
"1_OxPC(16:0_18:1(Ke))","330",4024843.98,"OxPC","[M+H]+"
"1_OxPC(17:0_15:1(OO))","200",112053.291,"OxPC","[M+H]+"
"1_OxPC(18:3_22:2(OH))","14708",63605.911,"OxPC","[M+H]+"
"1_OxPC(18:3_22:1(Ke))","14708",63605.911,"OxPC","[M+H]+"
"1_OxPC(18:2_22:3(OH))","14708",61023.388,"OxPC","[M+H]+"
"1_OxPC(18:2_17:2(OO))","2253",6343140.412,"OxPC","[M+H]+"
"1_OxPC(18:2_18:2(OOO))","12741",5193966.331,"OxPC","[M+H]+"
"1_OxPC(18:2_18:2(OOO))","18729",5193966.331,"OxPC","[M+H]+"
"1_OxPC(18:2_22:2(Ke))","14708",61023.388,"OxPC","[M+H]+"
"1_OxPC(18:2_17:1(Ke,OH))","2253",6343140.412,"OxPC","[M+H]+"
"1_OxPC(18:1(OH)_18:3(OO))","12741",5188431.167,"OxPC","[M+H]+"
"1_OxPC(18:1(OH)_18:3(OO))","18729",5188431.167,"OxPC","[M+H]+"
"1_OxPC(18:1(OH)_17:2(Ke))","2253",6338568.102,"OxPC","[M+H]+"
"1_OxPC(18:1(OH)_18:2(Ke,OH))","12741",5188431.167,"OxPC","[M+H]+"
"1_OxPC(18:1(OH)_18:2(Ke,OH))","18729",5188431.167,"OxPC","[M+H]+"
"1_OxPC(20:3(OH)_16:1(OO))","12741",5187111.066,"OxPC","[M+H]+"
"1_OxPC(20:3(OH)_16:1(OO))","18729",5187111.066,"OxPC","[M+H]+"
"1_OxPC(16:1(OO)_20:2(Ke))","12741",5187111.066,"OxPC","[M+H]+"
"1_OxPC(16:1(OO)_20:2(Ke))","18729",5187111.066,"OxPC","[M+H]+"
"1_OxPC(19:0_14:0(COOH))+Na","2253",53354.614,"OxPC","[M+Na]+"
"1_OxPC(19:0_14:1(OO))+Na","2253",53354.614,"OxPC","[M+Na]+"
"1_OxTG(14:0_18:1_18:2(OH))+NH4","15937",31948.091,"OxTG","[M+NH4]+"
"1_OxTG(16:0_16:0_16:1(CHO))+NH4","2259",2328.305,"OxTG","[M+NH4]+"
"1_OxTG(16:0_16:1_18:2(OH))+NH4","15937",31580.701,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:1_14:0(CHO))+NH4","2259",55496.182,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:1_16:1(CHO))+NH4","15937",29176.778,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:1_18:2(OH))+NH4","1419",119014.671,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:1_18:2(OH))+NH4","2095",26145.097,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:2_14:0(CHO))+NH4","7124",9366.477,"OxTG","[M+NH4]+"
"1_OxTG(16:1_18:0_18:2(OH))+NH4","1419",95373.536,"OxTG","[M+NH4]+"
"1_OxTG(18:0_18:1_18:2(OH))+NH4","1968",129595.91,"OxTG","[M+NH4]+"
"1_OxTG(18:0_18:2_18:2(OH))+NH4","9205",48043.444,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:1_14:0(CHO))+NH4","15937",99462.281,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:1_18:2(OH))+NH4","9205",49634.5,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:2_18:2(OH))+NH4","881",131333.4,"OxTG","[M+NH4]+"
"1_OxTG(14:0_18:0_18:1(OH))+NH4","11387",29430.591,"OxTG","[M+NH4]+"
"1_OxTG(14:0_18:1_18:1(Ke))+NH4","15937",31948.091,"OxTG","[M+NH4]+"
"1_OxTG(14:0_18:2_16:1(OH))+NH4","7124",6411.588,"OxTG","[M+NH4]+"
"1_OxTG(16:0_16:0_18:1(OH))+NH4","11387",52757.91,"OxTG","[M+NH4]+"
"1_OxTG(16:0_16:0_18:3(OH))+NH4","15937",6540.639,"OxTG","[M+NH4]+"
"1_OxTG(16:0_16:0_16:1(Ke))+NH4","2259",2328.305,"OxTG","[M+NH4]+"
"1_OxTG(16:0_16:0_18:2(Ke))+NH4","15937",6540.639,"OxTG","[M+NH4]+"
"1_OxTG(16:0_16:1_18:1(Ke))+NH4","15937",31580.701,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:1_14:1(OH))+NH4","2259",55496.182,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:1_18:1(OH))+NH4","14279",149493.95,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:1_20:2(OH))+NH4","1968",121464.857,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:1_16:1(Ke))+NH4","15937",29176.778,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:1_18:1(Ke))+NH4","1419",119014.671,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:1_18:1(Ke))+NH4","2095",26145.097,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:1_20:1(Ke))+NH4","1968",121464.857,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:2_14:1(OH))+NH4","7124",9366.477,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:2_18:1(OH))+NH4","2095",32543.693,"OxTG","[M+NH4]+"
"1_OxTG(16:0_18:2_20:1(OH))+NH4","1968",54096.755,"OxTG","[M+NH4]+"
"1_OxTG(16:1_16:1_18:1(OH))+NH4","15937",7292.135,"OxTG","[M+NH4]+"
"1_OxTG(16:1_18:0_18:1(Ke))+NH4","1419",95373.536,"OxTG","[M+NH4]+"
"1_OxTG(16:1_18:1_16:1(OH))+NH4","15937",158016.295,"OxTG","[M+NH4]+"
"1_OxTG(16:1_18:1_18:1(OH))+NH4","1419",63526.568,"OxTG","[M+NH4]+"
"1_OxTG(18:0_18:1_16:1(OH))+NH4","14279",50108.032,"OxTG","[M+NH4]+"
"1_OxTG(18:0_18:1_18:1(Ke))+NH4","1968",129595.91,"OxTG","[M+NH4]+"
"1_OxTG(18:0_18:2_18:1(OH))+NH4","1968",71233.189,"OxTG","[M+NH4]+"
"1_OxTG(18:0_18:2_18:1(Ke))+NH4","9205",48043.444,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:1_14:1(OH))+NH4","15937",99462.281,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:1_16:1(OH))+NH4","1419",28924.631,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:1_16:1(OH))+NH4","2095",146169.327,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:1_18:1(OH))+NH4","1834",44197.911,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:1_18:1(OH))+NH4","1968",158449.83,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:1_18:3(OH))+NH4","881",101583.734,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:1_20:2(OH))+NH4","9580",2965.792,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:1_18:1(Ke))+NH4","9205",49634.5,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:1_18:2(Ke))+NH4","881",101583.734,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:1_20:1(Ke))+NH4","9580",2965.792,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:2_18:1(OH))+NH4","9205",45576.861,"OxTG","[M+NH4]+"
"1_OxTG(18:1_18:2_18:1(Ke))+NH4","881",131333.4,"OxTG","[M+NH4]+"
"1_OxTG(18:2_18:2_18:1(OH))+NH4","881",24168.186,"OxTG","[M+NH4]+"
"1_PC(13:0_18:1)+H","802",6421611.973,"PC","[M+H]+"
"1_PC(13:0_18:2)+H","422",678707.051,"PC","[M+H]+"
"1_PC(13:0_20:4)+H","510",66003.003,"PC","[M+H]+"
"1_PC(13:0_22:6)+H","491",178191.186,"PC","[M+H]+"
"1_PC(14:0_16:0)+H","188",19651826.097,"PC","[M+H]+"
"1_PC(14:0_16:1)+H","340",5607804.911,"PC","[M+H]+"
"1_PC(14:0_17:0)+H","95",692779.46,"PC","[M+H]+"
"1_PC(14:0_18:1)+H","86",43391981.976,"PC","[M+H]+"
"1_PC(14:0_18:2)+H","115",28271240.56,"PC","[M+H]+"
"1_PC(14:0_20:3)+H","118",21151846.571,"PC","[M+H]+"
"1_PC(14:0_20:4)+H","93",37784493.077,"PC","[M+H]+"
"1_PC(14:0_20:4)+H","17809",1876328.159,"PC","[M+H]+"
"1_PC(14:0_20:5)+H","861",510912.784,"PC","[M+H]+"
"1_PC(14:0_22:5)+H","125",24441957.539,"PC","[M+H]+"
"1_PC(14:0_22:5)+H","12641",24441957.539,"PC","[M+H]+"
"1_PC(14:1_16:0)+H","340",5605461.397,"PC","[M+H]+"
"1_PC(15:0_16:0)+H","518",3006184.5127,"PC","[M+H]+"
"1_PC(15:0_18:1)+H","181",17073302.987,"PC","[M+H]+"
"1_PC(15:0_18:1)+H","707",44666.2098,"PC","[M+H]+"
"1_PC(15:0_18:2)+H","145",20087111.9124,"PC","[M+H]+"
"1_PC(15:0_18:2)+H","206",8120530.84,"PC","[M+H]+"
"1_PC(15:0_18:3)+H","567",1378471.8648,"PC","[M+H]+"
"1_PC(15:0_20:3)+H","402",6045460.763,"PC","[M+H]+"
"1_PC(15:0_20:4)+H","296",4754274.3775,"PC","[M+H]+"
"1_PC(15:0_20:4)+H","9089",306749.07,"PC","[M+H]+"
"1_PC(15:0_22:5)+H","682",2205223.2479,"PC","[M+H]+"
"1_PC(15:0_22:6)+H","590",2248775.812,"PC","[M+H]+"
"1_PC(15:0_22:6)+H","706",143743.44,"PC","[M+H]+"
"1_PC(15:1_16:0)+H","802",6467097.557,"PC","[M+H]+"
"1_PC(15:1_16:1)+H","422",638295.285,"PC","[M+H]+"
"1_PC(15:1_18:1)+H","206",8096374.393,"PC","[M+H]+"
"1_PC(15:1_18:2)+H","513",16281196.38,"PC","[M+H]+"
"1_PC(15:1_20:5)+H","491",139176.949,"PC","[M+H]+"
"1_PC(16:0_16:0)+H","75",37312679.459,"PC","[M+H]+"
"1_PC(16:0_16:0)+H","9118",17700602.64,"PC","[M+H]+"
"1_PC(16:0_16:0)+H","12681",17700602.64,"PC","[M+H]+"
"1_PC(16:0_16:1)+H","86",43480110.2,"PC","[M+H]+"
"1_PC(16:0_16:1)+H","1076",1215276.8252,"PC","[M+H]+"
"1_PC(16:0_16:1)+H","17141",1215276.8252,"PC","[M+H]+"
"1_PC(16:0_17:0)+H","674",2612911.7206,"PC","[M+H]+"
"1_PC(16:0_17:1)+H","181",17076917.736,"PC","[M+H]+"
"1_PC(16:0_17:2)+H","206",8008783.376,"PC","[M+H]+"
"1_PC(16:0_18:0)+H","37",153723337.458,"PC","[M+H]+"
"1_PC(16:0_18:1)+H","5",618617657.977,"PC","[M+H]+"
"1_PC(16:0_18:2)+H","1",950488380.47,"PC","[M+H]+"
"1_PC(16:0_18:2)+H","11258",24604529.779,"PC","[M+H]+"
"1_PC(16:0_18:3)+H","118",21182827.711,"PC","[M+H]+"
"1_PC(16:0_20:1)+H","31",137656374.4183,"PC","[M+H]+"
"1_PC(16:0_20:2)+H","2",784528353.154,"PC","[M+H]+"
"1_PC(16:0_20:3)+H","10",426289833.12,"PC","[M+H]+"
"1_PC(16:0_20:3)+H","20",216968345.648,"PC","[M+H]+"
"1_PC(16:0_20:4)+H","3",654986622.07,"PC","[M+H]+"
"1_PC(16:0_20:4)+H","12643",18685424.444,"PC","[M+H]+"
"1_PC(16:0_20:5)+H","64",30019985.821,"PC","[M+H]+"
"1_PC(16:0_20:5)+H","601",1738875.773,"PC","[M+H]+"
"1_PC(16:0_22:4)+H","76",56003465.035,"PC","[M+H]+"
"1_PC(16:0_22:5)+H","34",149987609.539,"PC","[M+H]+"
"1_PC(16:0_22:5)+H","65",54619433.23,"PC","[M+H]+"
"1_PC(16:0_22:6)+H","13",199047118.809,"PC","[M+H]+"
"1_PC(16:0_22:6)+H","450",1687925.494,"PC","[M+H]+"
"1_PC(16:1_17:0)+H","181",17056349.652,"PC","[M+H]+"
"1_PC(16:1_18:1)+H","1",947325924.36,"PC","[M+H]+"
"1_PC(16:1_18:1)+H","11258",24632953.6,"PC","[M+H]+"
"1_PC(16:1_18:2)+H","118",21175011.557,"PC","[M+H]+"
"1_PC(16:1_18:2)+H","126",15298937.031,"PC","[M+H]+"
"1_PC(16:1_20:3)+H","43",86015697.262,"PC","[M+H]+"
"1_PC(16:1_20:4)+H","64",29900546.564,"PC","[M+H]+"
"1_PC(16:1_20:4)+H","125",24541002.46,"PC","[M+H]+"
"1_PC(16:1_20:4)+H","12641",24541002.46,"PC","[M+H]+"
"1_PC(16:1_20:5)+H","1706",707128.1936,"PC","[M+H]+"
"1_PC(16:1_20:5)+H","9112",761979.328,"PC","[M+H]+"
"1_PC(16:1_20:5)+H","12669",761979.328,"PC","[M+H]+"
"1_PC(16:1_22:6)+H","321",5426569.8822,"PC","[M+H]+"
"1_PC(16:1_22:6)+H","12665",5427673.293,"PC","[M+H]+"
"1_PC(17:0_17:0)+H","37",154128598.856,"PC","[M+H]+"
"1_PC(17:0_18:1)+H","177",13725779.891,"PC","[M+H]+"
"1_PC(17:0_18:2)+H","89",22565735.316,"PC","[M+H]+"
"1_PC(17:0_18:2)+H","143",24948953.866,"PC","[M+H]+"
"1_PC(17:0_19:0)+H","437",3872812.4878,"PC","[M+H]+"
"1_PC(17:0_20:2)+H","301",7070518.655,"PC","[M+H]+"
"1_PC(17:0_20:2)+H","17797",1809181.281,"PC","[M+H]+"
"1_PC(17:0_20:3)+H","344",7414425.296,"PC","[M+H]+"
"1_PC(17:0_20:3)+H","353",4263866.892,"PC","[M+H]+"
"1_PC(17:0_20:4)+H","154",21677713.85,"PC","[M+H]+"
"1_PC(17:0_20:4)+H","248",4898959.2076,"PC","[M+H]+"
"1_PC(17:0_20:5)+H","682",2202985.2951,"PC","[M+H]+"
"1_PC(17:0_22:5)+H","616",3389824.586,"PC","[M+H]+"
"1_PC(17:0_22:6)+H","515",3081265.539,"PC","[M+H]+"
"1_PC(17:0_22:6)+H","604",2322379.5142,"PC","[M+H]+"
"1_PC(17:1_18:0)+H","177",13688422.2115,"PC","[M+H]+"
"1_PC(17:1_18:1)+H","89",22493906.56,"PC","[M+H]+"
"1_PC(17:1_18:2)+H","402",6027290.966,"PC","[M+H]+"
"1_PC(17:1_18:2)+H","501",3508034.465,"PC","[M+H]+"
"1_PC(17:1_20:3)+H","154",21591263.49,"PC","[M+H]+"
"1_PC(17:1_20:3)+H","248",4876836.197,"PC","[M+H]+"
"1_PC(17:1_20:4)+H","682",2202791.4464,"PC","[M+H]+"
"1_PC(18:0_18:0)+H","437",3871887.048,"PC","[M+H]+"
"1_PC(18:0_18:1)+H","31",138113791.941,"PC","[M+H]+"
"1_PC(18:0_18:2)+H","2",787244313.5,"PC","[M+H]+"
"1_PC(18:0_20:1)+H","541",7266977.842,"PC","[M+H]+"
"1_PC(18:0_20:2)+H","139",26171832.478,"PC","[M+H]+"
"1_PC(18:0_20:3)+H","17",122149770.559,"PC","[M+H]+"
"1_PC(18:0_20:3)+H","229",7533867.615,"PC","[M+H]+"
"1_PC(18:0_20:4)+H","8",406694562.408,"PC","[M+H]+"
"1_PC(18:0_20:4)+H","76",55864342.289,"PC","[M+H]+"
"1_PC(18:0_20:5)+H","65",54603339.818,"PC","[M+H]+"
"1_PC(18:0_20:5)+H","436",1896401.434,"PC","[M+H]+"
"1_PC(18:0_22:4)+H","133",22499570.744,"PC","[M+H]+"
"1_PC(18:0_22:5)+H","102",37461116.674,"PC","[M+H]+"
"1_PC(18:0_22:5)+H","147",11332204.202,"PC","[M+H]+"
"1_PC(18:0_22:5)+H","15127",584184.29,"PC","[M+H]+"
"1_PC(18:0_22:6)+H","35",137669952.383,"PC","[M+H]+"
"1_PC(18:1_18:1)+H","2",784518778.92,"PC","[M+H]+"
"1_PC(18:1_18:2)+H","10",425243913.679,"PC","[M+H]+"
"1_PC(18:1_18:2)+H","20",217663928.899,"PC","[M+H]+"
"1_PC(18:1_18:3)+H","12643",18635879.255,"PC","[M+H]+"
"1_PC(18:1_20:0)+H","541",7264206.108,"PC","[M+H]+"
