MGDG,[M+Na]+,NL_T1&Na,NL_T2&Na,NL_T1&T2&Na
MGDG(10:0_20:3)+Na,719.4705,547.3242,413.2146,243.084
MGDG(10:0_20:4)+Na,717.4548,545.3085,413.2146,243.084
MGDG(10:0_20:5)+Na,715.4392,543.2929,413.2146,243.084
MGDG(10:0_21:0)+Na,739.5331,567.3868,413.2146,243.084
MGDG(10:0_22:0)+Na,753.5487,581.4024,413.2146,243.084
MGDG(10:0_22:1)+Na,751.5331,579.3868,413.2146,243.084
MGDG(10:0_22:2)+Na,749.5174,577.3711,413.2146,243.084
MGDG(10:0_22:3)+Na,747.5018,575.3555,413.2146,243.084
MGDG(10:0_22:4)+Na,745.4861,573.3398,413.2146,243.084
MGDG(10:0_22:5)+Na,743.4705,571.3242,413.2146,243.084
MGDG(10:0_22:6)+Na,741.4548,569.3085,413.2146,243.084
MGDG(10:0_23:0)+Na,767.5644,595.4181,413.2146,243.084
MGDG(10:0_24:0)+Na,781.58,609.4337,413.2146,243.084
MGDG(10:0_24:1)+Na,779.5644,607.4181,413.2146,243.084
MGDG(10:0_25:0)+Na,795.5957,623.4494,413.2146,243.084
MGDG(10:0_26:0)+Na,809.6113,637.465,413.2146,243.084
MGDG(12:0_12:0)+Na,641.4235,441.2459,441.2459,243.084
MGDG(12:0_13:0)+Na,655.4392,455.2616,441.2459,243.084
MGDG(12:0_14:0)+Na,669.4548,469.2772,441.2459,243.084
MGDG(12:0_14:1)+Na,667.4392,467.2616,441.2459,243.084
MGDG(12:0_15:0)+Na,683.4705,483.2929,441.2459,243.084
MGDG(12:0_15:1)+Na,681.4548,481.2772,441.2459,243.084
MGDG(12:0_16:0)+Na,697.4861,497.3085,441.2459,243.084
MGDG(12:0_16:1)+Na,695.4705,495.2929,441.2459,243.084
MGDG(12:0_17:0)+Na,711.5018,511.3242,441.2459,243.084
MGDG(12:0_17:1)+Na,709.4861,509.3085,441.2459,243.084
MGDG(12:0_17:2)+Na,707.4705,507.2929,441.2459,243.084
MGDG(12:0_18:0)+Na,725.5174,525.3398,441.2459,243.084
MGDG(12:0_18:1)+Na,723.5018,523.3242,441.2459,243.084
MGDG(12:0_18:2)+Na,721.4861,521.3085,441.2459,243.084
MGDG(12:0_18:3)+Na,719.4705,519.2929,441.2459,243.084
MGDG(12:0_18:4)+Na,717.4548,517.2772,441.2459,243.084
MGDG(12:0_19:0)+Na,739.5331,539.3555,441.2459,243.084
MGDG(12:0_20:0)+Na,753.5487,553.3711,441.2459,243.084
MGDG(12:0_20:1)+Na,751.5331,551.3555,441.2459,243.084
MGDG(12:0_20:2)+Na,749.5174,549.3398,441.2459,243.084
MGDG(12:0_20:3)+Na,747.5018,547.3242,441.2459,243.084
MGDG(12:0_20:4)+Na,745.4861,545.3085,441.2459,243.084
MGDG(12:0_20:5)+Na,743.4705,543.2929,441.2459,243.084
MGDG(12:0_21:0)+Na,767.5644,567.3868,441.2459,243.084
MGDG(12:0_22:0)+Na,781.58,581.4024,441.2459,243.084
MGDG(12:0_22:1)+Na,779.5644,579.3868,441.2459,243.084
MGDG(12:0_22:2)+Na,777.5487,577.3711,441.2459,243.084
MGDG(12:0_22:3)+Na,775.5331,575.3555,441.2459,243.084
MGDG(12:0_22:4)+Na,773.5174,573.3398,441.2459,243.084
MGDG(12:0_22:5)+Na,771.5018,571.3242,441.2459,243.084
MGDG(12:0_22:6)+Na,769.4861,569.3085,441.2459,243.084
MGDG(12:0_23:0)+Na,795.5957,595.4181,441.2459,243.084
MGDG(12:0_24:0)+Na,809.6113,609.4337,441.2459,243.084
MGDG(12:0_24:1)+Na,807.5957,607.4181,441.2459,243.084
MGDG(12:0_25:0)+Na,823.627,623.4494,441.2459,243.084
MGDG(12:0_26:0)+Na,837.6426,637.465,441.2459,243.084
MGDG(13:0_13:0)+Na,669.4549,455.2616,455.2616,243.084
MGDG(13:0_14:0)+Na,683.4705,469.2772,455.2616,243.084
MGDG(13:0_14:1)+Na,681.4549,467.2616,455.2616,243.084
MGDG(13:0_15:0)+Na,697.4862,483.2929,455.2616,243.084
MGDG(13:0_15:1)+Na,695.4705,481.2772,455.2616,243.084
MGDG(13:0_16:0)+Na,711.5018,497.3085,455.2616,243.084
MGDG(13:0_16:1)+Na,709.4862,495.2929,455.2616,243.084
MGDG(13:0_17:0)+Na,725.5175,511.3242,455.2616,243.084
MGDG(13:0_17:1)+Na,723.5018,509.3085,455.2616,243.084
MGDG(13:0_17:2)+Na,721.4862,507.2929,455.2616,243.084
MGDG(13:0_18:0)+Na,739.5331,525.3398,455.2616,243.084
MGDG(13:0_18:1)+Na,737.5175,523.3242,455.2616,243.084
MGDG(13:0_18:2)+Na,735.5018,521.3085,455.2616,243.084
MGDG(13:0_18:3)+Na,733.4862,519.2929,455.2616,243.084
MGDG(13:0_18:4)+Na,731.4705,517.2772,455.2616,243.084
MGDG(13:0_19:0)+Na,753.5488,539.3555,455.2616,243.084
MGDG(13:0_20:0)+Na,767.5644,553.3711,455.2616,243.084
MGDG(13:0_20:1)+Na,765.5488,551.3555,455.2616,243.084
MGDG(13:0_20:2)+Na,763.5331,549.3398,455.2616,243.084
MGDG(13:0_20:3)+Na,761.5175,547.3242,455.2616,243.084
MGDG(13:0_20:4)+Na,759.5018,545.3085,455.2616,243.084
MGDG(13:0_20:5)+Na,757.4862,543.2929,455.2616,243.084
MGDG(13:0_21:0)+Na,781.5801,567.3868,455.2616,243.084
MGDG(13:0_22:0)+Na,795.5957,581.4024,455.2616,243.084
MGDG(13:0_22:1)+Na,793.5801,579.3868,455.2616,243.084
MGDG(13:0_22:2)+Na,791.5644,577.3711,455.2616,243.084
MGDG(13:0_22:3)+Na,789.5488,575.3555,455.2616,243.084
MGDG(13:0_22:4)+Na,787.5331,573.3398,455.2616,243.084
MGDG(13:0_22:5)+Na,785.5175,571.3242,455.2616,243.084
MGDG(13:0_22:6)+Na,783.5018,569.3085,455.2616,243.084
MGDG(13:0_23:0)+Na,809.6114,595.4181,455.2616,243.084
MGDG(13:0_24:0)+Na,823.627,609.4337,455.2616,243.084
MGDG(13:0_24:1)+Na,821.6114,607.4181,455.2616,243.084
MGDG(13:0_25:0)+Na,837.6427,623.4494,455.2616,243.084
MGDG(13:0_26:0)+Na,851.6583,637.465,455.2616,243.084
MGDG(14:0_14:0)+Na,697.4861,469.2772,469.2772,243.084
MGDG(14:0_14:1)+Na,695.4705,467.2616,469.2772,243.084
MGDG(14:0_15:0)+Na,711.5018,483.2929,469.2772,243.084
MGDG(14:0_15:1)+Na,709.4861,481.2772,469.2772,243.084
MGDG(14:0_16:0)+Na,725.5174,497.3085,469.2772,243.084
MGDG(14:0_16:1)+Na,723.5018,495.2929,469.2772,243.084
MGDG(14:0_17:0)+Na,739.5331,511.3242,469.2772,243.084
MGDG(14:0_17:1)+Na,737.5174,509.3085,469.2772,243.084
MGDG(14:0_17:2)+Na,735.5018,507.2929,469.2772,243.084
MGDG(14:0_18:0)+Na,753.5487,525.3398,469.2772,243.084
MGDG(14:0_18:1)+Na,751.5331,523.3242,469.2772,243.084
MGDG(14:0_18:2)+Na,749.5174,521.3085,469.2772,243.084
MGDG(14:0_18:3)+Na,747.5018,519.2929,469.2772,243.084
MGDG(14:0_18:4)+Na,745.4861,517.2772,469.2772,243.084
MGDG(14:0_19:0)+Na,767.5644,539.3555,469.2772,243.084
MGDG(14:0_20:0)+Na,781.58,553.3711,469.2772,243.084
MGDG(14:0_20:1)+Na,779.5644,551.3555,469.2772,243.084
MGDG(14:0_20:2)+Na,777.5487,549.3398,469.2772,243.084
MGDG(14:0_20:3)+Na,775.5331,547.3242,469.2772,243.084
MGDG(14:0_20:4)+Na,773.5174,545.3085,469.2772,243.084
MGDG(14:0_20:5)+Na,771.5018,543.2929,469.2772,243.084
MGDG(14:0_21:0)+Na,795.5957,567.3868,469.2772,243.084
MGDG(14:0_22:0)+Na,809.6113,581.4024,469.2772,243.084
MGDG(14:0_22:1)+Na,807.5957,579.3868,469.2772,243.084
MGDG(14:0_22:2)+Na,805.58,577.3711,469.2772,243.084
MGDG(14:0_22:3)+Na,803.5644,575.3555,469.2772,243.084
MGDG(14:0_22:4)+Na,801.5487,573.3398,469.2772,243.084
MGDG(14:0_22:5)+Na,799.5331,571.3242,469.2772,243.084
MGDG(14:0_22:6)+Na,797.5174,569.3085,469.2772,243.084
MGDG(14:0_23:0)+Na,823.627,595.4181,469.2772,243.084
MGDG(14:0_24:0)+Na,837.6426,609.4337,469.2772,243.084
MGDG(14:0_24:1)+Na,835.627,607.4181,469.2772,243.084
MGDG(14:0_25:0)+Na,851.6583,623.4494,469.2772,243.084
MGDG(14:0_26:0)+Na,865.6739,637.465,469.2772,243.084
MGDG(14:1_14:1)+Na,693.4549,467.2616,467.2616,243.084
MGDG(14:1_15:0)+Na,709.4862,483.2929,467.2616,243.084
MGDG(14:1_15:1)+Na,707.4705,481.2772,467.2616,243.084
MGDG(14:1_16:0)+Na,723.5018,497.3085,467.2616,243.084
MGDG(14:1_16:1)+Na,721.4862,495.2929,467.2616,243.084
MGDG(14:1_17:0)+Na,737.5175,511.3242,467.2616,243.084
MGDG(14:1_17:1)+Na,735.5018,509.3085,467.2616,243.084
MGDG(14:1_17:2)+Na,733.4862,507.2929,467.2616,243.084
MGDG(14:1_18:0)+Na,751.5331,525.3398,467.2616,243.084
MGDG(14:1_18:1)+Na,749.5175,523.3242,467.2616,243.084
MGDG(14:1_18:2)+Na,747.5018,521.3085,467.2616,243.084
MGDG(14:1_18:3)+Na,745.4862,519.2929,467.2616,243.084
MGDG(14:1_18:4)+Na,743.4705,517.2772,467.2616,243.084
MGDG(14:1_19:0)+Na,765.5488,539.3555,467.2616,243.084
MGDG(14:1_20:0)+Na,779.5644,553.3711,467.2616,243.084
MGDG(14:1_20:1)+Na,777.5488,551.3555,467.2616,243.084
MGDG(14:1_20:2)+Na,775.5331,549.3398,467.2616,243.084
MGDG(14:1_20:3)+Na,773.5175,547.3242,467.2616,243.084
MGDG(14:1_20:4)+Na,771.5018,545.3085,467.2616,243.084
MGDG(14:1_20:5)+Na,769.4862,543.2929,467.2616,243.084
MGDG(14:1_21:0)+Na,793.5801,567.3868,467.2616,243.084
MGDG(14:1_22:0)+Na,807.5957,581.4024,467.2616,243.084
MGDG(14:1_22:1)+Na,805.5801,579.3868,467.2616,243.084
MGDG(14:1_22:2)+Na,803.5644,577.3711,467.2616,243.084
MGDG(14:1_22:3)+Na,801.5488,575.3555,467.2616,243.084
MGDG(14:1_22:4)+Na,799.5331,573.3398,467.2616,243.084
MGDG(14:1_22:5)+Na,797.5175,571.3242,467.2616,243.084
MGDG(14:1_22:6)+Na,795.5018,569.3085,467.2616,243.084
MGDG(14:1_23:0)+Na,821.6114,595.4181,467.2616,243.084
MGDG(14:1_24:0)+Na,835.627,609.4337,467.2616,243.084
MGDG(14:1_24:1)+Na,833.6114,607.4181,467.2616,243.084
MGDG(14:1_25:0)+Na,849.6427,623.4494,467.2616,243.084
MGDG(14:1_26:0)+Na,863.6583,637.465,467.2616,243.084
MGDG(15:0_15:0)+Na,725.5175,483.2929,483.2929,243.084
MGDG(15:0_15:1)+Na,723.5018,481.2772,483.2929,243.084
MGDG(15:0_16:0)+Na,739.5331,497.3085,483.2929,243.084
MGDG(15:0_16:1)+Na,737.5175,495.2929,483.2929,243.084
MGDG(15:0_17:0)+Na,753.5488,511.3242,483.2929,243.084
MGDG(15:0_17:1)+Na,751.5331,509.3085,483.2929,243.084
MGDG(15:0_17:2)+Na,749.5175,507.2929,483.2929,243.084
MGDG(15:0_18:0)+Na,767.5644,525.3398,483.2929,243.084
MGDG(15:0_18:1)+Na,765.5488,523.3242,483.2929,243.084
MGDG(15:0_18:2)+Na,763.5331,521.3085,483.2929,243.084
MGDG(15:0_18:3)+Na,761.5175,519.2929,483.2929,243.084
MGDG(15:0_18:4)+Na,759.5018,517.2772,483.2929,243.084
MGDG(15:0_19:0)+Na,781.5801,539.3555,483.2929,243.084
MGDG(15:0_20:0)+Na,795.5957,553.3711,483.2929,243.084
MGDG(15:0_20:1)+Na,793.5801,551.3555,483.2929,243.084
MGDG(15:0_20:2)+Na,791.5644,549.3398,483.2929,243.084
MGDG(15:0_20:3)+Na,789.5488,547.3242,483.2929,243.084
MGDG(15:0_20:4)+Na,787.5331,545.3085,483.2929,243.084
MGDG(15:0_20:5)+Na,785.5175,543.2929,483.2929,243.084
MGDG(15:0_21:0)+Na,809.6114,567.3868,483.2929,243.084
MGDG(15:0_22:0)+Na,823.627,581.4024,483.2929,243.084
MGDG(15:0_22:1)+Na,821.6114,579.3868,483.2929,243.084
MGDG(15:0_22:2)+Na,819.5957,577.3711,483.2929,243.084
MGDG(15:0_22:3)+Na,817.5801,575.3555,483.2929,243.084
MGDG(15:0_22:4)+Na,815.5644,573.3398,483.2929,243.084
MGDG(15:0_22:5)+Na,813.5488,571.3242,483.2929,243.084
MGDG(15:0_22:6)+Na,811.5331,569.3085,483.2929,243.084
MGDG(15:0_23:0)+Na,837.6427,595.4181,483.2929,243.084
MGDG(15:0_24:0)+Na,851.6583,609.4337,483.2929,243.084
MGDG(15:0_24:1)+Na,849.6427,607.4181,483.2929,243.084
MGDG(15:0_25:0)+Na,865.674,623.4494,483.2929,243.084
MGDG(15:0_26:0)+Na,879.6896,637.465,483.2929,243.084
MGDG(15:1_15:1)+Na,721.4861,481.2772,481.2772,243.084
MGDG(15:1_16:0)+Na,737.5174,497.3085,481.2772,243.084
MGDG(15:1_16:1)+Na,735.5018,495.2929,481.2772,243.084
MGDG(15:1_17:0)+Na,751.5331,511.3242,481.2772,243.084
MGDG(15:1_17:1)+Na,749.5174,509.3085,481.2772,243.084
MGDG(15:1_17:2)+Na,747.5018,507.2929,481.2772,243.084
MGDG(15:1_18:0)+Na,765.5487,525.3398,481.2772,243.084
MGDG(15:1_18:1)+Na,763.5331,523.3242,481.2772,243.084
MGDG(15:1_18:2)+Na,761.5174,521.3085,481.2772,243.084
MGDG(15:1_18:3)+Na,759.5018,519.2929,481.2772,243.084
MGDG(15:1_18:4)+Na,757.4861,517.2772,481.2772,243.084
MGDG(15:1_19:0)+Na,779.5644,539.3555,481.2772,243.084
MGDG(15:1_20:0)+Na,793.58,553.3711,481.2772,243.084
MGDG(15:1_20:1)+Na,791.5644,551.3555,481.2772,243.084
MGDG(15:1_20:2)+Na,789.5487,549.3398,481.2772,243.084
MGDG(15:1_20:3)+Na,787.5331,547.3242,481.2772,243.084
MGDG(15:1_20:4)+Na,785.5174,545.3085,481.2772,243.084
MGDG(15:1_20:5)+Na,783.5018,543.2929,481.2772,243.084
MGDG(15:1_21:0)+Na,807.5957,567.3868,481.2772,243.084
MGDG(15:1_22:0)+Na,821.6113,581.4024,481.2772,243.084
MGDG(15:1_22:1)+Na,819.5957,579.3868,481.2772,243.084
MGDG(15:1_22:2)+Na,817.58,577.3711,481.2772,243.084
MGDG(15:1_22:3)+Na,815.5644,575.3555,481.2772,243.084
MGDG(15:1_22:4)+Na,813.5487,573.3398,481.2772,243.084
MGDG(15:1_22:5)+Na,811.5331,571.3242,481.2772,243.084
MGDG(15:1_22:6)+Na,809.5174,569.3085,481.2772,243.084
MGDG(15:1_23:0)+Na,835.627,595.4181,481.2772,243.084
MGDG(15:1_24:0)+Na,849.6426,609.4337,481.2772,243.084
MGDG(15:1_24:1)+Na,847.627,607.4181,481.2772,243.084
MGDG(15:1_25:0)+Na,863.6583,623.4494,481.2772,243.084
MGDG(15:1_26:0)+Na,877.6739,637.465,481.2772,243.084
MGDG(16:0_16:0)+Na,753.5487,497.3085,497.3085,243.084
MGDG(16:0_16:1)+Na,751.5331,495.2929,497.3085,243.084
MGDG(16:0_17:0)+Na,767.5644,511.3242,497.3085,243.084
MGDG(16:0_17:1)+Na,765.5487,509.3085,497.3085,243.084
MGDG(16:0_17:2)+Na,763.5331,507.2929,497.3085,243.084
MGDG(16:0_18:0)+Na,781.58,525.3398,497.3085,243.084
MGDG(16:0_18:1)+Na,779.5644,523.3242,497.3085,243.084
MGDG(16:0_18:2)+Na,777.5487,521.3085,497.3085,243.084
MGDG(16:0_18:3)+Na,775.5331,519.2929,497.3085,243.084
MGDG(16:0_18:4)+Na,773.5174,517.2772,497.3085,243.084
MGDG(16:0_19:0)+Na,795.5957,539.3555,497.3085,243.084
MGDG(16:0_20:0)+Na,809.6113,553.3711,497.3085,243.084
MGDG(16:0_20:1)+Na,807.5957,551.3555,497.3085,243.084
MGDG(16:0_20:2)+Na,805.58,549.3398,497.3085,243.084
MGDG(16:0_20:3)+Na,803.5644,547.3242,497.3085,243.084
MGDG(16:0_20:4)+Na,801.5487,545.3085,497.3085,243.084
MGDG(16:0_20:5)+Na,799.5331,543.2929,497.3085,243.084
MGDG(16:0_21:0)+Na,823.627,567.3868,497.3085,243.084
MGDG(16:0_22:0)+Na,837.6426,581.4024,497.3085,243.084
MGDG(16:0_22:1)+Na,835.627,579.3868,497.3085,243.084
MGDG(16:0_22:2)+Na,833.6113,577.3711,497.3085,243.084
MGDG(16:0_22:3)+Na,831.5957,575.3555,497.3085,243.084
MGDG(16:0_22:4)+Na,829.58,573.3398,497.3085,243.084
MGDG(16:0_22:5)+Na,827.5644,571.3242,497.3085,243.084
MGDG(16:0_22:6)+Na,825.5487,569.3085,497.3085,243.084
MGDG(16:0_23:0)+Na,851.6583,595.4181,497.3085,243.084
MGDG(16:0_24:0)+Na,865.6739,609.4337,497.3085,243.084
MGDG(16:0_24:1)+Na,863.6583,607.4181,497.3085,243.084
MGDG(16:0_25:0)+Na,879.6896,623.4494,497.3085,243.084
MGDG(16:0_26:0)+Na,893.7052,637.465,497.3085,243.084
MGDG(16:1_16:1)+Na,749.5175,495.2929,495.2929,243.084
MGDG(16:1_17:0)+Na,765.5488,511.3242,495.2929,243.084
MGDG(16:1_17:1)+Na,763.5331,509.3085,495.2929,243.084
MGDG(16:1_17:2)+Na,761.5175,507.2929,495.2929,243.084
MGDG(16:1_18:0)+Na,779.5644,525.3398,495.2929,243.084
MGDG(16:1_18:1)+Na,777.5488,523.3242,495.2929,243.084
MGDG(16:1_18:2)+Na,775.5331,521.3085,495.2929,243.084
MGDG(16:1_18:3)+Na,773.5175,519.2929,495.2929,243.084
MGDG(16:1_18:4)+Na,771.5018,517.2772,495.2929,243.084
MGDG(16:1_19:0)+Na,793.5801,539.3555,495.2929,243.084
MGDG(16:1_20:0)+Na,807.5957,553.3711,495.2929,243.084
MGDG(16:1_20:1)+Na,805.5801,551.3555,495.2929,243.084
MGDG(16:1_20:2)+Na,803.5644,549.3398,495.2929,243.084
MGDG(16:1_20:3)+Na,801.5488,547.3242,495.2929,243.084
MGDG(16:1_20:4)+Na,799.5331,545.3085,495.2929,243.084
MGDG(16:1_20:5)+Na,797.5175,543.2929,495.2929,243.084
MGDG(16:1_21:0)+Na,821.6114,567.3868,495.2929,243.084
MGDG(16:1_22:0)+Na,835.627,581.4024,495.2929,243.084
MGDG(16:1_22:1)+Na,833.6114,579.3868,495.2929,243.084
MGDG(16:1_22:2)+Na,831.5957,577.3711,495.2929,243.084
MGDG(16:1_22:3)+Na,829.5801,575.3555,495.2929,243.084
MGDG(16:1_22:4)+Na,827.5644,573.3398,495.2929,243.084
MGDG(16:1_22:5)+Na,825.5488,571.3242,495.2929,243.084
MGDG(16:1_22:6)+Na,823.5331,569.3085,495.2929,243.084
MGDG(16:1_23:0)+Na,849.6427,595.4181,495.2929,243.084
MGDG(16:1_24:0)+Na,863.6583,609.4337,495.2929,243.084
MGDG(16:1_24:1)+Na,861.6427,607.4181,495.2929,243.084
MGDG(16:1_25:0)+Na,877.674,623.4494,495.2929,243.084
MGDG(16:1_26:0)+Na,891.6896,637.465,495.2929,243.084
MGDG(17:0_17:0)+Na,781.5801,511.3242,511.3242,243.084
MGDG(17:0_17:1)+Na,779.5644,509.3085,511.3242,243.084
MGDG(17:0_17:2)+Na,777.5488,507.2929,511.3242,243.084
MGDG(17:0_18:0)+Na,795.5957,525.3398,511.3242,243.084
MGDG(17:0_18:1)+Na,793.5801,523.3242,511.3242,243.084
MGDG(17:0_18:2)+Na,791.5644,521.3085,511.3242,243.084
MGDG(17:0_18:3)+Na,789.5488,519.2929,511.3242,243.084
MGDG(17:0_18:4)+Na,787.5331,517.2772,511.3242,243.084
MGDG(17:0_19:0)+Na,809.6114,539.3555,511.3242,243.084
MGDG(17:0_20:0)+Na,823.627,553.3711,511.3242,243.084
MGDG(17:0_20:1)+Na,821.6114,551.3555,511.3242,243.084
MGDG(17:0_20:2)+Na,819.5957,549.3398,511.3242,243.084
MGDG(17:0_20:3)+Na,817.5801,547.3242,511.3242,243.084
MGDG(17:0_20:4)+Na,815.5644,545.3085,511.3242,243.084
MGDG(17:0_20:5)+Na,813.5488,543.2929,511.3242,243.084
MGDG(17:0_21:0)+Na,837.6427,567.3868,511.3242,243.084
MGDG(17:0_22:0)+Na,851.6583,581.4024,511.3242,243.084
MGDG(17:0_22:1)+Na,849.6427,579.3868,511.3242,243.084
MGDG(17:0_22:2)+Na,847.627,577.3711,511.3242,243.084
MGDG(17:0_22:3)+Na,845.6114,575.3555,511.3242,243.084
MGDG(17:0_22:4)+Na,843.5957,573.3398,511.3242,243.084
MGDG(17:0_22:5)+Na,841.5801,571.3242,511.3242,243.084
MGDG(17:0_22:6)+Na,839.5644,569.3085,511.3242,243.084
MGDG(17:0_23:0)+Na,865.674,595.4181,511.3242,243.084
MGDG(17:0_24:0)+Na,879.6896,609.4337,511.3242,243.084
MGDG(17:0_24:1)+Na,877.674,607.4181,511.3242,243.084
MGDG(17:0_25:0)+Na,893.7053,623.4494,511.3242,243.084
MGDG(17:0_26:0)+Na,907.7209,637.465,511.3242,243.084
MGDG(17:1_17:1)+Na,777.5487,509.3085,509.3085,243.084
MGDG(17:1_17:2)+Na,775.5331,507.2929,509.3085,243.084
MGDG(17:1_18:0)+Na,793.58,525.3398,509.3085,243.084
MGDG(17:1_18:1)+Na,791.5644,523.3242,509.3085,243.084
MGDG(17:1_18:2)+Na,789.5487,521.3085,509.3085,243.084
MGDG(17:1_18:3)+Na,787.5331,519.2929,509.3085,243.084
MGDG(17:1_18:4)+Na,785.5174,517.2772,509.3085,243.084
MGDG(17:1_19:0)+Na,807.5957,539.3555,509.3085,243.084
MGDG(17:1_20:0)+Na,821.6113,553.3711,509.3085,243.084
MGDG(17:1_20:1)+Na,819.5957,551.3555,509.3085,243.084
MGDG(17:1_20:2)+Na,817.58,549.3398,509.3085,243.084
MGDG(17:1_20:3)+Na,815.5644,547.3242,509.3085,243.084
MGDG(17:1_20:4)+Na,813.5487,545.3085,509.3085,243.084
MGDG(17:1_20:5)+Na,811.5331,543.2929,509.3085,243.084
MGDG(17:1_21:0)+Na,835.627,567.3868,509.3085,243.084
MGDG(17:1_22:0)+Na,849.6426,581.4024,509.3085,243.084
MGDG(17:1_22:1)+Na,847.627,579.3868,509.3085,243.084
MGDG(17:1_22:2)+Na,845.6113,577.3711,509.3085,243.084
MGDG(17:1_22:3)+Na,843.5957,575.3555,509.3085,243.084
MGDG(17:1_22:4)+Na,841.58,573.3398,509.3085,243.084
MGDG(17:1_22:5)+Na,839.5644,571.3242,509.3085,243.084
MGDG(17:1_22:6)+Na,837.5487,569.3085,509.3085,243.084
MGDG(17:1_23:0)+Na,863.6583,595.4181,509.3085,243.084
MGDG(17:1_24:0)+Na,877.6739,609.4337,509.3085,243.084
