Plasmenyl-TG,[M+NH4]+,NL R2COOH,NL R3COOH
plasmenyl-TG(P-16:0_8:0_20:5)+NH4,742.6345,581.4928,423.3832
plasmenyl-TG(P-16:0_8:0_21:0)+NH4,766.7284,605.5867,423.3832
plasmenyl-TG(P-16:0_8:0_22:0)+NH4,780.744,619.6023,423.3832
plasmenyl-TG(P-16:0_8:0_22:1)+NH4,778.7284,617.5867,423.3832
plasmenyl-TG(P-16:0_8:0_22:2)+NH4,776.7127,615.571,423.3832
plasmenyl-TG(P-16:0_8:0_22:3)+NH4,774.6971,613.5554,423.3832
plasmenyl-TG(P-16:0_8:0_22:4)+NH4,772.6814,611.5397,423.3832
plasmenyl-TG(P-16:0_8:0_22:5)+NH4,770.6658,609.5241,423.3832
plasmenyl-TG(P-16:0_8:0_22:6)+NH4,768.6501,607.5084,423.3832
plasmenyl-TG(P-16:0_8:0_23:0)+NH4,794.7597,633.618,423.3832
plasmenyl-TG(P-16:0_8:0_24:0)+NH4,808.7753,647.6336,423.3832
plasmenyl-TG(P-16:0_8:0_24:1)+NH4,806.7597,645.618,423.3832
plasmenyl-TG(P-16:0_8:0_25:0)+NH4,822.791,661.6493,423.3832
plasmenyl-TG(P-16:0_8:0_26:0)+NH4,836.8066,675.6649,423.3832
plasmenyl-TG(P-16:0_10:0_10:0)+NH4,640.5875,451.4145,451.4145
plasmenyl-TG(P-16:0_10:0_12:0)+NH4,668.6188,479.4458,451.4145
plasmenyl-TG(P-16:0_10:0_13:0)+NH4,682.6345,493.4615,451.4145
plasmenyl-TG(P-16:0_10:0_14:0)+NH4,696.6501,507.4771,451.4145
plasmenyl-TG(P-16:0_10:0_14:1)+NH4,694.6345,505.4615,451.4145
plasmenyl-TG(P-16:0_10:0_15:0)+NH4,710.6658,521.4928,451.4145
plasmenyl-TG(P-16:0_10:0_15:1)+NH4,708.6501,519.4771,451.4145
plasmenyl-TG(P-16:0_10:0_16:0)+NH4,724.6814,535.5084,451.4145
plasmenyl-TG(P-16:0_10:0_16:1)+NH4,722.6658,533.4928,451.4145
plasmenyl-TG(P-16:0_10:0_17:0)+NH4,738.6971,549.5241,451.4145
plasmenyl-TG(P-16:0_10:0_17:1)+NH4,736.6814,547.5084,451.4145
plasmenyl-TG(P-16:0_10:0_17:2)+NH4,734.6658,545.4928,451.4145
plasmenyl-TG(P-16:0_10:0_18:0)+NH4,752.7127,563.5397,451.4145
plasmenyl-TG(P-16:0_10:0_18:1)+NH4,750.6971,561.5241,451.4145
plasmenyl-TG(P-16:0_10:0_18:2)+NH4,748.6814,559.5084,451.4145
plasmenyl-TG(P-16:0_10:0_18:3)+NH4,746.6658,557.4928,451.4145
plasmenyl-TG(P-16:0_10:0_18:4)+NH4,744.6501,555.4771,451.4145
plasmenyl-TG(P-16:0_10:0_19:0)+NH4,766.7284,577.5554,451.4145
plasmenyl-TG(P-16:0_10:0_20:0)+NH4,780.744,591.571,451.4145
plasmenyl-TG(P-16:0_10:0_20:1)+NH4,778.7284,589.5554,451.4145
plasmenyl-TG(P-16:0_10:0_20:2)+NH4,776.7127,587.5397,451.4145
plasmenyl-TG(P-16:0_10:0_20:3)+NH4,774.6971,585.5241,451.4145
plasmenyl-TG(P-16:0_10:0_20:4)+NH4,772.6814,583.5084,451.4145
plasmenyl-TG(P-16:0_10:0_20:5)+NH4,770.6658,581.4928,451.4145
plasmenyl-TG(P-16:0_10:0_21:0)+NH4,794.7597,605.5867,451.4145
plasmenyl-TG(P-16:0_10:0_22:0)+NH4,808.7753,619.6023,451.4145
plasmenyl-TG(P-16:0_10:0_22:1)+NH4,806.7597,617.5867,451.4145
plasmenyl-TG(P-16:0_10:0_22:2)+NH4,804.744,615.571,451.4145
plasmenyl-TG(P-16:0_10:0_22:3)+NH4,802.7284,613.5554,451.4145
plasmenyl-TG(P-16:0_10:0_22:4)+NH4,800.7127,611.5397,451.4145
plasmenyl-TG(P-16:0_10:0_22:5)+NH4,798.6971,609.5241,451.4145
plasmenyl-TG(P-16:0_10:0_22:6)+NH4,796.6814,607.5084,451.4145
plasmenyl-TG(P-16:0_10:0_23:0)+NH4,822.791,633.618,451.4145
plasmenyl-TG(P-16:0_10:0_24:0)+NH4,836.8066,647.6336,451.4145
plasmenyl-TG(P-16:0_10:0_24:1)+NH4,834.791,645.618,451.4145
plasmenyl-TG(P-16:0_10:0_25:0)+NH4,850.8223,661.6493,451.4145
plasmenyl-TG(P-16:0_10:0_26:0)+NH4,864.8379,675.6649,451.4145
plasmenyl-TG(P-16:0_12:0_12:0)+NH4,696.6501,479.4458,479.4458
plasmenyl-TG(P-16:0_12:0_13:0)+NH4,710.6658,493.4615,479.4458
plasmenyl-TG(P-16:0_12:0_14:0)+NH4,724.6814,507.4771,479.4458
plasmenyl-TG(P-16:0_12:0_14:1)+NH4,722.6658,505.4615,479.4458
plasmenyl-TG(P-16:0_12:0_15:0)+NH4,738.6971,521.4928,479.4458
plasmenyl-TG(P-16:0_12:0_15:1)+NH4,736.6814,519.4771,479.4458
plasmenyl-TG(P-16:0_12:0_16:0)+NH4,752.7127,535.5084,479.4458
plasmenyl-TG(P-16:0_12:0_16:1)+NH4,750.6971,533.4928,479.4458
plasmenyl-TG(P-16:0_12:0_17:0)+NH4,766.7284,549.5241,479.4458
plasmenyl-TG(P-16:0_12:0_17:1)+NH4,764.7127,547.5084,479.4458
plasmenyl-TG(P-16:0_12:0_17:2)+NH4,762.6971,545.4928,479.4458
plasmenyl-TG(P-16:0_12:0_18:0)+NH4,780.744,563.5397,479.4458
plasmenyl-TG(P-16:0_12:0_18:1)+NH4,778.7284,561.5241,479.4458
plasmenyl-TG(P-16:0_12:0_18:2)+NH4,776.7127,559.5084,479.4458
plasmenyl-TG(P-16:0_12:0_18:3)+NH4,774.6971,557.4928,479.4458
plasmenyl-TG(P-16:0_12:0_18:4)+NH4,772.6814,555.4771,479.4458
plasmenyl-TG(P-16:0_12:0_19:0)+NH4,794.7597,577.5554,479.4458
plasmenyl-TG(P-16:0_12:0_20:0)+NH4,808.7753,591.571,479.4458
plasmenyl-TG(P-16:0_12:0_20:1)+NH4,806.7597,589.5554,479.4458
plasmenyl-TG(P-16:0_12:0_20:2)+NH4,804.744,587.5397,479.4458
plasmenyl-TG(P-16:0_12:0_20:3)+NH4,802.7284,585.5241,479.4458
plasmenyl-TG(P-16:0_12:0_20:4)+NH4,800.7127,583.5084,479.4458
plasmenyl-TG(P-16:0_12:0_20:5)+NH4,798.6971,581.4928,479.4458
plasmenyl-TG(P-16:0_12:0_21:0)+NH4,822.791,605.5867,479.4458
plasmenyl-TG(P-16:0_12:0_22:0)+NH4,836.8066,619.6023,479.4458
plasmenyl-TG(P-16:0_12:0_22:1)+NH4,834.791,617.5867,479.4458
plasmenyl-TG(P-16:0_12:0_22:2)+NH4,832.7753,615.571,479.4458
plasmenyl-TG(P-16:0_12:0_22:3)+NH4,830.7597,613.5554,479.4458
plasmenyl-TG(P-16:0_12:0_22:4)+NH4,828.744,611.5397,479.4458
plasmenyl-TG(P-16:0_12:0_22:5)+NH4,826.7284,609.5241,479.4458
plasmenyl-TG(P-16:0_12:0_22:6)+NH4,824.7127,607.5084,479.4458
plasmenyl-TG(P-16:0_12:0_23:0)+NH4,850.8223,633.618,479.4458
plasmenyl-TG(P-16:0_12:0_24:0)+NH4,864.8379,647.6336,479.4458
plasmenyl-TG(P-16:0_12:0_24:1)+NH4,862.8223,645.618,479.4458
plasmenyl-TG(P-16:0_12:0_25:0)+NH4,878.8536,661.6493,479.4458
plasmenyl-TG(P-16:0_12:0_26:0)+NH4,892.8692,675.6649,479.4458
plasmenyl-TG(P-16:0_13:0_13:0)+NH4,724.6815,493.4615,493.4615
plasmenyl-TG(P-16:0_13:0_14:0)+NH4,738.6971,507.4771,493.4615
plasmenyl-TG(P-16:0_13:0_14:1)+NH4,736.6815,505.4615,493.4615
plasmenyl-TG(P-16:0_13:0_15:0)+NH4,752.7128,521.4928,493.4615
plasmenyl-TG(P-16:0_13:0_15:1)+NH4,750.6971,519.4771,493.4615
plasmenyl-TG(P-16:0_13:0_16:0)+NH4,766.7284,535.5084,493.4615
plasmenyl-TG(P-16:0_13:0_16:1)+NH4,764.7128,533.4928,493.4615
plasmenyl-TG(P-16:0_13:0_17:0)+NH4,780.7441,549.5241,493.4615
plasmenyl-TG(P-16:0_13:0_17:1)+NH4,778.7284,547.5084,493.4615
plasmenyl-TG(P-16:0_13:0_17:2)+NH4,776.7128,545.4928,493.4615
plasmenyl-TG(P-16:0_13:0_18:0)+NH4,794.7597,563.5397,493.4615
plasmenyl-TG(P-16:0_13:0_18:1)+NH4,792.7441,561.5241,493.4615
plasmenyl-TG(P-16:0_13:0_18:2)+NH4,790.7284,559.5084,493.4615
plasmenyl-TG(P-16:0_13:0_18:3)+NH4,788.7128,557.4928,493.4615
plasmenyl-TG(P-16:0_13:0_18:4)+NH4,786.6971,555.4771,493.4615
plasmenyl-TG(P-16:0_13:0_19:0)+NH4,808.7754,577.5554,493.4615
plasmenyl-TG(P-16:0_13:0_20:0)+NH4,822.791,591.571,493.4615
plasmenyl-TG(P-16:0_13:0_20:1)+NH4,820.7754,589.5554,493.4615
plasmenyl-TG(P-16:0_13:0_20:2)+NH4,818.7597,587.5397,493.4615
plasmenyl-TG(P-16:0_13:0_20:3)+NH4,816.7441,585.5241,493.4615
plasmenyl-TG(P-16:0_13:0_20:4)+NH4,814.7284,583.5084,493.4615
plasmenyl-TG(P-16:0_13:0_20:5)+NH4,812.7128,581.4928,493.4615
plasmenyl-TG(P-16:0_13:0_21:0)+NH4,836.8067,605.5867,493.4615
plasmenyl-TG(P-16:0_13:0_22:0)+NH4,850.8223,619.6023,493.4615
plasmenyl-TG(P-16:0_13:0_22:1)+NH4,848.8067,617.5867,493.4615
plasmenyl-TG(P-16:0_13:0_22:2)+NH4,846.791,615.571,493.4615
plasmenyl-TG(P-16:0_13:0_22:3)+NH4,844.7754,613.5554,493.4615
plasmenyl-TG(P-16:0_13:0_22:4)+NH4,842.7597,611.5397,493.4615
plasmenyl-TG(P-16:0_13:0_22:5)+NH4,840.7441,609.5241,493.4615
plasmenyl-TG(P-16:0_13:0_22:6)+NH4,838.7284,607.5084,493.4615
plasmenyl-TG(P-16:0_13:0_23:0)+NH4,864.838,633.618,493.4615
plasmenyl-TG(P-16:0_13:0_24:0)+NH4,878.8536,647.6336,493.4615
plasmenyl-TG(P-16:0_13:0_24:1)+NH4,876.838,645.618,493.4615
plasmenyl-TG(P-16:0_13:0_25:0)+NH4,892.8693,661.6493,493.4615
plasmenyl-TG(P-16:0_13:0_26:0)+NH4,906.8849,675.6649,493.4615
plasmenyl-TG(P-16:0_14:0_14:0)+NH4,752.7127,507.4771,507.4771
plasmenyl-TG(P-16:0_14:0_14:1)+NH4,750.6971,505.4615,507.4771
plasmenyl-TG(P-16:0_14:0_15:0)+NH4,766.7284,521.4928,507.4771
plasmenyl-TG(P-16:0_14:0_15:1)+NH4,764.7127,519.4771,507.4771
plasmenyl-TG(P-16:0_14:0_16:0)+NH4,780.744,535.5084,507.4771
plasmenyl-TG(P-16:0_14:0_16:1)+NH4,778.7284,533.4928,507.4771
plasmenyl-TG(P-16:0_14:0_17:0)+NH4,794.7597,549.5241,507.4771
plasmenyl-TG(P-16:0_14:0_17:1)+NH4,792.744,547.5084,507.4771
plasmenyl-TG(P-16:0_14:0_17:2)+NH4,790.7284,545.4928,507.4771
plasmenyl-TG(P-16:0_14:0_18:0)+NH4,808.7753,563.5397,507.4771
plasmenyl-TG(P-16:0_14:0_18:1)+NH4,806.7597,561.5241,507.4771
plasmenyl-TG(P-16:0_14:0_18:2)+NH4,804.744,559.5084,507.4771
plasmenyl-TG(P-16:0_14:0_18:3)+NH4,802.7284,557.4928,507.4771
plasmenyl-TG(P-16:0_14:0_18:4)+NH4,800.7127,555.4771,507.4771
plasmenyl-TG(P-16:0_14:0_19:0)+NH4,822.791,577.5554,507.4771
plasmenyl-TG(P-16:0_14:0_20:0)+NH4,836.8066,591.571,507.4771
plasmenyl-TG(P-16:0_14:0_20:1)+NH4,834.791,589.5554,507.4771
plasmenyl-TG(P-16:0_14:0_20:2)+NH4,832.7753,587.5397,507.4771
plasmenyl-TG(P-16:0_14:0_20:3)+NH4,830.7597,585.5241,507.4771
plasmenyl-TG(P-16:0_14:0_20:4)+NH4,828.744,583.5084,507.4771
plasmenyl-TG(P-16:0_14:0_20:5)+NH4,826.7284,581.4928,507.4771
plasmenyl-TG(P-16:0_14:0_21:0)+NH4,850.8223,605.5867,507.4771
plasmenyl-TG(P-16:0_14:0_22:0)+NH4,864.8379,619.6023,507.4771
plasmenyl-TG(P-16:0_14:0_22:1)+NH4,862.8223,617.5867,507.4771
plasmenyl-TG(P-16:0_14:0_22:2)+NH4,860.8066,615.571,507.4771
plasmenyl-TG(P-16:0_14:0_22:3)+NH4,858.791,613.5554,507.4771
plasmenyl-TG(P-16:0_14:0_22:4)+NH4,856.7753,611.5397,507.4771
plasmenyl-TG(P-16:0_14:0_22:5)+NH4,854.7597,609.5241,507.4771
plasmenyl-TG(P-16:0_14:0_22:6)+NH4,852.744,607.5084,507.4771
plasmenyl-TG(P-16:0_14:0_23:0)+NH4,878.8536,633.618,507.4771
plasmenyl-TG(P-16:0_14:0_24:0)+NH4,892.8692,647.6336,507.4771
plasmenyl-TG(P-16:0_14:0_24:1)+NH4,890.8536,645.618,507.4771
plasmenyl-TG(P-16:0_14:0_25:0)+NH4,906.8849,661.6493,507.4771
plasmenyl-TG(P-16:0_14:0_26:0)+NH4,920.9005,675.6649,507.4771
plasmenyl-TG(P-16:0_14:1_14:1)+NH4,748.6815,505.4615,505.4615
plasmenyl-TG(P-16:0_14:1_15:0)+NH4,764.7128,521.4928,505.4615
plasmenyl-TG(P-16:0_14:1_15:1)+NH4,762.6971,519.4771,505.4615
plasmenyl-TG(P-16:0_14:1_16:0)+NH4,778.7284,535.5084,505.4615
plasmenyl-TG(P-16:0_14:1_16:1)+NH4,776.7128,533.4928,505.4615
plasmenyl-TG(P-16:0_14:1_17:0)+NH4,792.7441,549.5241,505.4615
plasmenyl-TG(P-16:0_14:1_17:1)+NH4,790.7284,547.5084,505.4615
plasmenyl-TG(P-16:0_14:1_17:2)+NH4,788.7128,545.4928,505.4615
plasmenyl-TG(P-16:0_14:1_18:0)+NH4,806.7597,563.5397,505.4615
plasmenyl-TG(P-16:0_14:1_18:1)+NH4,804.7441,561.5241,505.4615
plasmenyl-TG(P-16:0_14:1_18:2)+NH4,802.7284,559.5084,505.4615
plasmenyl-TG(P-16:0_14:1_18:3)+NH4,800.7128,557.4928,505.4615
plasmenyl-TG(P-16:0_14:1_18:4)+NH4,798.6971,555.4771,505.4615
plasmenyl-TG(P-16:0_14:1_19:0)+NH4,820.7754,577.5554,505.4615
plasmenyl-TG(P-16:0_14:1_20:0)+NH4,834.791,591.571,505.4615
plasmenyl-TG(P-16:0_14:1_20:1)+NH4,832.7754,589.5554,505.4615
plasmenyl-TG(P-16:0_14:1_20:2)+NH4,830.7597,587.5397,505.4615
plasmenyl-TG(P-16:0_14:1_20:3)+NH4,828.7441,585.5241,505.4615
plasmenyl-TG(P-16:0_14:1_20:4)+NH4,826.7284,583.5084,505.4615
plasmenyl-TG(P-16:0_14:1_20:5)+NH4,824.7128,581.4928,505.4615
plasmenyl-TG(P-16:0_14:1_21:0)+NH4,848.8067,605.5867,505.4615
plasmenyl-TG(P-16:0_14:1_22:0)+NH4,862.8223,619.6023,505.4615
plasmenyl-TG(P-16:0_14:1_22:1)+NH4,860.8067,617.5867,505.4615
plasmenyl-TG(P-16:0_14:1_22:2)+NH4,858.791,615.571,505.4615
plasmenyl-TG(P-16:0_14:1_22:3)+NH4,856.7754,613.5554,505.4615
plasmenyl-TG(P-16:0_14:1_22:4)+NH4,854.7597,611.5397,505.4615
plasmenyl-TG(P-16:0_14:1_22:5)+NH4,852.7441,609.5241,505.4615
plasmenyl-TG(P-16:0_14:1_22:6)+NH4,850.7284,607.5084,505.4615
plasmenyl-TG(P-16:0_14:1_23:0)+NH4,876.838,633.618,505.4615
plasmenyl-TG(P-16:0_14:1_24:0)+NH4,890.8536,647.6336,505.4615
plasmenyl-TG(P-16:0_14:1_24:1)+NH4,888.838,645.618,505.4615
plasmenyl-TG(P-16:0_14:1_25:0)+NH4,904.8693,661.6493,505.4615
plasmenyl-TG(P-16:0_14:1_26:0)+NH4,918.8849,675.6649,505.4615
plasmenyl-TG(P-16:0_15:0_15:0)+NH4,780.7441,521.4928,521.4928
plasmenyl-TG(P-16:0_15:0_15:1)+NH4,778.7284,519.4771,521.4928
plasmenyl-TG(P-16:0_15:0_16:0)+NH4,794.7597,535.5084,521.4928
plasmenyl-TG(P-16:0_15:0_16:1)+NH4,792.7441,533.4928,521.4928
plasmenyl-TG(P-16:0_15:0_17:0)+NH4,808.7754,549.5241,521.4928
plasmenyl-TG(P-16:0_15:0_17:1)+NH4,806.7597,547.5084,521.4928
plasmenyl-TG(P-16:0_15:0_17:2)+NH4,804.7441,545.4928,521.4928
plasmenyl-TG(P-16:0_15:0_18:0)+NH4,822.791,563.5397,521.4928
plasmenyl-TG(P-16:0_15:0_18:1)+NH4,820.7754,561.5241,521.4928
plasmenyl-TG(P-16:0_15:0_18:2)+NH4,818.7597,559.5084,521.4928
plasmenyl-TG(P-16:0_15:0_18:3)+NH4,816.7441,557.4928,521.4928
plasmenyl-TG(P-16:0_15:0_18:4)+NH4,814.7284,555.4771,521.4928
plasmenyl-TG(P-16:0_15:0_19:0)+NH4,836.8067,577.5554,521.4928
plasmenyl-TG(P-16:0_15:0_20:0)+NH4,850.8223,591.571,521.4928
plasmenyl-TG(P-16:0_15:0_20:1)+NH4,848.8067,589.5554,521.4928
plasmenyl-TG(P-16:0_15:0_20:2)+NH4,846.791,587.5397,521.4928
plasmenyl-TG(P-16:0_15:0_20:3)+NH4,844.7754,585.5241,521.4928
plasmenyl-TG(P-16:0_15:0_20:4)+NH4,842.7597,583.5084,521.4928
plasmenyl-TG(P-16:0_15:0_20:5)+NH4,840.7441,581.4928,521.4928
plasmenyl-TG(P-16:0_15:0_21:0)+NH4,864.838,605.5867,521.4928
plasmenyl-TG(P-16:0_15:0_22:0)+NH4,878.8536,619.6023,521.4928
plasmenyl-TG(P-16:0_15:0_22:1)+NH4,876.838,617.5867,521.4928
plasmenyl-TG(P-16:0_15:0_22:2)+NH4,874.8223,615.571,521.4928
plasmenyl-TG(P-16:0_15:0_22:3)+NH4,872.8067,613.5554,521.4928
plasmenyl-TG(P-16:0_15:0_22:4)+NH4,870.791,611.5397,521.4928
plasmenyl-TG(P-16:0_15:0_22:5)+NH4,868.7754,609.5241,521.4928
plasmenyl-TG(P-16:0_15:0_22:6)+NH4,866.7597,607.5084,521.4928
plasmenyl-TG(P-16:0_15:0_23:0)+NH4,892.8693,633.618,521.4928
plasmenyl-TG(P-16:0_15:0_24:0)+NH4,906.8849,647.6336,521.4928
plasmenyl-TG(P-16:0_15:0_24:1)+NH4,904.8693,645.618,521.4928
plasmenyl-TG(P-16:0_15:0_25:0)+NH4,920.9006,661.6493,521.4928
plasmenyl-TG(P-16:0_15:0_26:0)+NH4,934.9162,675.6649,521.4928
plasmenyl-TG(P-16:0_15:1_15:1)+NH4,776.7127,519.4771,519.4771
plasmenyl-TG(P-16:0_15:1_16:0)+NH4,792.744,535.5084,519.4771
plasmenyl-TG(P-16:0_15:1_16:1)+NH4,790.7284,533.4928,519.4771
plasmenyl-TG(P-16:0_15:1_17:0)+NH4,806.7597,549.5241,519.4771
plasmenyl-TG(P-16:0_15:1_17:1)+NH4,804.744,547.5084,519.4771
plasmenyl-TG(P-16:0_15:1_17:2)+NH4,802.7284,545.4928,519.4771
plasmenyl-TG(P-16:0_15:1_18:0)+NH4,820.7753,563.5397,519.4771
plasmenyl-TG(P-16:0_15:1_18:1)+NH4,818.7597,561.5241,519.4771
plasmenyl-TG(P-16:0_15:1_18:2)+NH4,816.744,559.5084,519.4771
plasmenyl-TG(P-16:0_15:1_18:3)+NH4,814.7284,557.4928,519.4771
plasmenyl-TG(P-16:0_15:1_18:4)+NH4,812.7127,555.4771,519.4771
plasmenyl-TG(P-16:0_15:1_19:0)+NH4,834.791,577.5554,519.4771
plasmenyl-TG(P-16:0_15:1_20:0)+NH4,848.8066,591.571,519.4771
plasmenyl-TG(P-16:0_15:1_20:1)+NH4,846.791,589.5554,519.4771
plasmenyl-TG(P-16:0_15:1_20:2)+NH4,844.7753,587.5397,519.4771
plasmenyl-TG(P-16:0_15:1_20:3)+NH4,842.7597,585.5241,519.4771
plasmenyl-TG(P-16:0_15:1_20:4)+NH4,840.744,583.5084,519.4771
plasmenyl-TG(P-16:0_15:1_20:5)+NH4,838.7284,581.4928,519.4771
plasmenyl-TG(P-16:0_15:1_21:0)+NH4,862.8223,605.5867,519.4771
plasmenyl-TG(P-16:0_15:1_22:0)+NH4,876.8379,619.6023,519.4771
plasmenyl-TG(P-16:0_15:1_22:1)+NH4,874.8223,617.5867,519.4771
plasmenyl-TG(P-16:0_15:1_22:2)+NH4,872.8066,615.571,519.4771
plasmenyl-TG(P-16:0_15:1_22:3)+NH4,870.791,613.5554,519.4771
plasmenyl-TG(P-16:0_15:1_22:4)+NH4,868.7753,611.5397,519.4771
plasmenyl-TG(P-16:0_15:1_22:5)+NH4,866.7597,609.5241,519.4771
plasmenyl-TG(P-16:0_15:1_22:6)+NH4,864.744,607.5084,519.4771
plasmenyl-TG(P-16:0_15:1_23:0)+NH4,890.8536,633.618,519.4771
plasmenyl-TG(P-16:0_15:1_24:0)+NH4,904.8692,647.6336,519.4771
plasmenyl-TG(P-16:0_15:1_24:1)+NH4,902.8536,645.618,519.4771
plasmenyl-TG(P-16:0_15:1_25:0)+NH4,918.8849,661.6493,519.4771
plasmenyl-TG(P-16:0_15:1_26:0)+NH4,932.9005,675.6649,519.4771
plasmenyl-TG(P-16:0_16:0_16:0)+NH4,808.7753,535.5084,535.5084
plasmenyl-TG(P-16:0_16:0_16:1)+NH4,806.7597,533.4928,535.5084
plasmenyl-TG(P-16:0_16:0_17:0)+NH4,822.791,549.5241,535.5084
plasmenyl-TG(P-16:0_16:0_17:1)+NH4,820.7753,547.5084,535.5084
plasmenyl-TG(P-16:0_16:0_17:2)+NH4,818.7597,545.4928,535.5084
plasmenyl-TG(P-16:0_16:0_18:0)+NH4,836.8066,563.5397,535.5084
plasmenyl-TG(P-16:0_16:0_18:1)+NH4,834.791,561.5241,535.5084
plasmenyl-TG(P-16:0_16:0_18:2)+NH4,832.7753,559.5084,535.5084
plasmenyl-TG(P-16:0_16:0_18:3)+NH4,830.7597,557.4928,535.5084
plasmenyl-TG(P-16:0_16:0_18:4)+NH4,828.744,555.4771,535.5084
plasmenyl-TG(P-16:0_16:0_19:0)+NH4,850.8223,577.5554,535.5084
plasmenyl-TG(P-16:0_16:0_20:0)+NH4,864.8379,591.571,535.5084
plasmenyl-TG(P-16:0_16:0_20:1)+NH4,862.8223,589.5554,535.5084
plasmenyl-TG(P-16:0_16:0_20:2)+NH4,860.8066,587.5397,535.5084
plasmenyl-TG(P-16:0_16:0_20:3)+NH4,858.791,585.5241,535.5084
plasmenyl-TG(P-16:0_16:0_20:4)+NH4,856.7753,583.5084,535.5084
plasmenyl-TG(P-16:0_16:0_20:5)+NH4,854.7597,581.4928,535.5084
plasmenyl-TG(P-16:0_16:0_21:0)+NH4,878.8536,605.5867,535.5084
plasmenyl-TG(P-16:0_16:0_22:0)+NH4,892.8692,619.6023,535.5084
plasmenyl-TG(P-16:0_16:0_22:1)+NH4,890.8536,617.5867,535.5084
plasmenyl-TG(P-16:0_16:0_22:2)+NH4,888.8379,615.571,535.5084
plasmenyl-TG(P-16:0_16:0_22:3)+NH4,886.8223,613.5554,535.5084
plasmenyl-TG(P-16:0_16:0_22:4)+NH4,884.8066,611.5397,535.5084
plasmenyl-TG(P-16:0_16:0_22:5)+NH4,882.791,609.5241,535.5084
plasmenyl-TG(P-16:0_16:0_22:6)+NH4,880.7753,607.5084,535.5084
plasmenyl-TG(P-16:0_16:0_23:0)+NH4,906.8849,633.618,535.5084
plasmenyl-TG(P-16:0_16:0_24:0)+NH4,920.9005,647.6336,535.5084
plasmenyl-TG(P-16:0_16:0_24:1)+NH4,918.8849,645.618,535.5084
plasmenyl-TG(P-16:0_16:0_25:0)+NH4,934.9162,661.6493,535.5084
plasmenyl-TG(P-16:0_16:0_26:0)+NH4,948.9318,675.6649,535.5084
plasmenyl-TG(P-16:0_16:1_16:1)+NH4,804.7441,533.4928,533.4928
plasmenyl-TG(P-16:0_16:1_17:0)+NH4,820.7754,549.5241,533.4928
plasmenyl-TG(P-16:0_16:1_17:1)+NH4,818.7597,547.5084,533.4928
plasmenyl-TG(P-16:0_16:1_17:2)+NH4,816.7441,545.4928,533.4928
plasmenyl-TG(P-16:0_16:1_18:0)+NH4,834.791,563.5397,533.4928
plasmenyl-TG(P-16:0_16:1_18:1)+NH4,832.7754,561.5241,533.4928
plasmenyl-TG(P-16:0_16:1_18:2)+NH4,830.7597,559.5084,533.4928
plasmenyl-TG(P-16:0_16:1_18:3)+NH4,828.7441,557.4928,533.4928
plasmenyl-TG(P-16:0_16:1_18:4)+NH4,826.7284,555.4771,533.4928
plasmenyl-TG(P-16:0_16:1_19:0)+NH4,848.8067,577.5554,533.4928
plasmenyl-TG(P-16:0_16:1_20:0)+NH4,862.8223,591.571,533.4928
plasmenyl-TG(P-16:0_16:1_20:1)+NH4,860.8067,589.5554,533.4928
