Ganglioside,[M-H]-,Ceramide,M-NeuAc-H,M-Cer-C6H10O5,ion_C11H16NO8
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1817.031758,674.64526,1525.936348,836.69808,290.08814
NeuGcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1694.885822,536.5045,1403.790412,698.55732,290.08814
NeuGcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1722.917123,564.53578,1431.821713,726.5886,290.08814
NeuGcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1750.948423,592.56706,1459.853013,754.61988,290.08814
NeuGcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1778.979723,620.59834,1487.884313,782.65116,290.08814
NeuGcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1807.011023,648.62962,1515.915613,810.68244,290.08814
NeuGcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1835.042323,676.6609,1543.946913,838.71372,290.08814
NeuGcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1804.995373,646.61398,1513.899963,808.6668,290.08814
NeuGcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1833.026673,674.64526,1541.931263,836.69808,290.08814
NeuAcalpha2-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1516.838084,536.5045,1225.742674,698.55732,290.08814
NeuAcalpha2-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1544.869384,564.53578,1253.773974,726.5886,290.08814
NeuAcalpha2-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1572.900685,592.56706,1281.805275,754.61988,290.08814
NeuAcalpha2-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1600.931985,620.59834,1309.836575,782.65116,290.08814
NeuAcalpha2-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1628.963285,648.62962,1337.867875,810.68244,290.08814
NeuAcalpha2-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1656.994585,676.6609,1365.899175,838.71372,290.08814
NeuAcalpha2-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1626.947635,646.61398,1335.852225,808.6668,290.08814
NeuAcalpha2-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1654.978935,674.64526,1363.883525,836.69808,290.08814
NeuAcalpha2-6Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1678.890908,536.5045,1387.795498,698.55732,290.08814
NeuAcalpha2-6Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1706.922208,564.53578,1415.826798,726.5886,290.08814
NeuAcalpha2-6Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1734.953508,592.56706,1443.858098,754.61988,290.08814
NeuAcalpha2-6Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1762.984808,620.59834,1471.889398,782.65116,290.08814
NeuAcalpha2-6Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1791.016108,648.62962,1499.920698,810.68244,290.08814
NeuAcalpha2-6Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1819.047408,676.6609,1527.951998,838.71372,290.08814
NeuAcalpha2-6Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1789.000458,646.61398,1497.905048,808.6668,290.08814
NeuAcalpha2-6Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1817.031758,674.64526,1525.936348,836.69808,290.08814
NeuAcalpha2-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1151.705888,536.5045,860.6104784,698.55732,290.08814
NeuAcalpha2-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1179.737189,564.53578,888.6417785,726.5886,290.08814
NeuAcalpha2-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1207.768489,592.56706,916.6730787,754.61988,290.08814
NeuAcalpha2-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1235.799789,620.59834,944.7043788,782.65116,290.08814
NeuAcalpha2-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1263.831089,648.62962,972.7356789,810.68244,290.08814
NeuAcalpha2-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1291.862389,676.6609,1000.766979,838.71372,290.08814
NeuAcalpha2-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1261.815439,646.61398,970.7200288,808.6668,290.08814
NeuAcalpha2-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1289.846739,674.64526,998.751329,836.69808,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1354.785261,536.5045,1063.689851,698.55732,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1382.816561,564.53578,1091.721151,726.5886,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1410.847861,592.56706,1119.752451,754.61988,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1438.879161,620.59834,1147.783751,782.65116,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1466.910461,648.62962,1175.815051,810.68244,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1494.941762,676.6609,1203.846352,838.71372,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1464.894811,646.61398,1173.799401,808.6668,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1492.926112,674.64526,1201.830702,836.69808,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_12:0)-H,1460.775484,480.44194,1169.680074,642.49476,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1544.869384,564.53578,1253.773974,726.5886,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1572.900685,592.56706,1281.805275,754.61988,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1600.931985,620.59834,1309.836575,782.65116,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1628.963285,648.62962,1337.867875,810.68244,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1656.994585,676.6609,1365.899175,838.71372,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1626.947635,646.61398,1335.852225,808.6668,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1654.978935,674.64526,1363.883525,836.69808,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1516.838084,536.5045,1225.742674,698.55732,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1544.869384,564.53578,1253.773974,726.5886,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1572.900685,592.56706,1281.805275,754.61988,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1600.931985,620.59834,1309.836575,782.65116,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1628.963285,648.62962,1337.867875,810.68244,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1656.994585,676.6609,1365.899175,838.71372,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1626.947635,646.61398,1335.852225,808.6668,290.08814
NeuAcalpha2-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1654.978935,674.64526,1363.883525,836.69808,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1719.917457,536.5045,1428.822047,698.55732,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1747.948757,564.53578,1456.853347,726.5886,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1775.980057,592.56706,1484.884647,754.61988,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1804.011357,620.59834,1512.915947,782.65116,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1832.042657,648.62962,1540.947247,810.68244,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1860.073958,676.6609,1568.978548,838.71372,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1830.027007,646.61398,1538.931597,808.6668,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1858.058307,674.64526,1566.962897,836.69808,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1881.97028,536.5045,1590.87487,698.55732,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1910.00158,564.53578,1618.90617,726.5886,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1938.032881,592.56706,1646.937471,754.61988,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1966.064181,620.59834,1674.968771,782.65116,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1994.095481,648.62962,1703.000071,810.68244,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,2022.126781,676.6609,1731.031371,838.71372,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1992.079831,646.61398,1700.984421,808.6668,290.08814
Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,2020.111131,674.64526,1729.015721,836.69808,290.08814
GalNAcbeta1-4Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1719.917457,536.5045,1428.822047,698.55732,290.08814
GalNAcbeta1-4Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1747.948757,564.53578,1456.853347,726.5886,290.08814
GalNAcbeta1-4Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1775.980057,592.56706,1484.884647,754.61988,290.08814
GalNAcbeta1-4Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1804.011357,620.59834,1512.915947,782.65116,290.08814
GalNAcbeta1-4Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1832.042657,648.62962,1540.947247,810.68244,290.08814
GalNAcbeta1-4Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1860.073958,676.6609,1568.978548,838.71372,290.08814
GalNAcbeta1-4Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1830.027007,646.61398,1538.931597,808.6668,290.08814
GalNAcbeta1-4Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1858.058307,674.64526,1566.962897,836.69808,290.08814
Fucalpha1-2Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1662.895993,536.5045,1371.800583,698.55732,290.08814
Fucalpha1-2Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1690.927293,564.53578,1399.831883,726.5886,290.08814
Fucalpha1-2Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1718.958593,592.56706,1427.863183,754.61988,290.08814
Fucalpha1-2Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1746.989894,620.59834,1455.894484,782.65116,290.08814
Fucalpha1-2Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1775.021194,648.62962,1483.925784,810.68244,290.08814
Fucalpha1-2Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1803.052494,676.6609,1511.957084,838.71372,290.08814
Fucalpha1-2Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1773.005544,646.61398,1481.910134,808.6668,290.08814
Fucalpha1-2Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1801.036844,674.64526,1509.941434,836.69808,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1516.838084,536.5045,1225.742674,698.55732,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1544.869384,564.53578,1253.773974,726.5886,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1572.900685,592.56706,1281.805275,754.61988,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1600.931985,620.59834,1309.836575,782.65116,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1628.963285,648.62962,1337.867875,810.68244,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1656.994585,676.6609,1365.899175,838.71372,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1626.947635,646.61398,1335.852225,808.6668,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1654.978935,674.64526,1363.883525,836.69808,290.08814
NeuGcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1897.965195,536.5045,1606.869785,698.55732,290.08814
NeuGcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1925.996495,564.53578,1634.901085,726.5886,290.08814
NeuGcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1954.027795,592.56706,1662.932385,754.61988,290.08814
NeuGcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1982.059095,620.59834,1690.963685,782.65116,290.08814
NeuGcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,2010.090395,648.62962,1718.994985,810.68244,290.08814
NeuGcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,2038.121696,676.6609,1747.026286,838.71372,290.08814
NeuGcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,2008.074745,646.61398,1716.979335,808.6668,290.08814
NeuGcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,2036.106046,674.64526,1745.010636,836.69808,290.08814
Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_16:0)-H,2028.028189,536.5045,1736.932779,698.55732,290.08814
Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_18:0)-H,2056.059489,564.53578,1764.964079,726.5886,290.08814
Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_20:0)-H,2084.090789,592.56706,1792.995379,754.61988,290.08814
Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_22:0)-H,2112.12209,620.59834,1821.02668,782.65116,290.08814
Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:0)-H,2140.15339,648.62962,1849.05798,810.68244,290.08814
Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:0)-H,2168.18469,676.6609,1877.08928,838.71372,290.08814
Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:1)-H,2138.13774,646.61398,1847.04233,808.6668,290.08814
Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:1)-H,2166.16904,674.64526,1875.07363,836.69808,290.08814
GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1719.917457,536.5045,1428.822047,698.55732,290.08814
GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1747.948757,564.53578,1456.853347,726.5886,290.08814
GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1775.980057,592.56706,1484.884647,754.61988,290.08814
GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1804.011357,620.59834,1512.915947,782.65116,290.08814
GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1832.042657,648.62962,1540.947247,810.68244,290.08814
GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1860.073958,676.6609,1568.978548,838.71372,290.08814
GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1830.027007,646.61398,1538.931597,808.6668,290.08814
GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1858.058307,674.64526,1566.962897,836.69808,290.08814
Fucalpha1-3GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1865.975366,536.5045,1574.879956,698.55732,290.08814
Fucalpha1-3GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1894.006666,564.53578,1602.911256,726.5886,290.08814
Fucalpha1-3GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1922.037966,592.56706,1630.942556,754.61988,290.08814
Fucalpha1-3GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1950.069266,620.59834,1658.973856,782.65116,290.08814
Fucalpha1-3GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1978.100566,648.62962,1687.005156,810.68244,290.08814
Fucalpha1-3GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:0)-H,2006.131866,676.6609,1715.036456,838.71372,290.08814
Fucalpha1-3GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1976.084916,646.61398,1684.989506,808.6668,290.08814
Fucalpha1-3GlcNAcbeta1-3Galbeta1-3GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-4Glcbeta-Cer(d18:1_26:1)-H,2004.116216,674.64526,1713.020806,836.69808,290.08814
