AcylGlcADG,[M+NH4]+,[M-SN3-C6H10O7+H]+,[C6H6O67+SN3+H]+,[SN2+C3H4O2+H]+,[SN1+C3H4O2+H]+,[SN3-H]+
AcylGlcADG(12:0_16:3_22:6)+NH4,1010.693,489.3938,487.269,307.2268,257.2112,311.238
AcylGlcADG(12:0_16:4_12:0)+NH4,880.615,487.3782,359.2064,305.2112,257.2112,183.1754
AcylGlcADG(12:0_16:4_14:0)+NH4,908.6463,487.3782,387.2377,305.2112,257.2112,211.2067
AcylGlcADG(12:0_16:4_14:1)+NH4,906.6307,487.3782,385.2221,305.2112,257.2112,209.1911
AcylGlcADG(12:0_16:4_16:0)+NH4,936.6776,487.3782,415.269,305.2112,257.2112,239.238
AcylGlcADG(12:0_16:4_16:1)+NH4,934.6619,487.3782,413.2534,305.2112,257.2112,237.2224
AcylGlcADG(12:0_16:4_16:2)+NH4,932.6463,487.3782,411.2377,305.2112,257.2112,235.2067
AcylGlcADG(12:0_16:4_16:3)+NH4,930.6307,487.3782,409.2221,305.2112,257.2112,233.1911
AcylGlcADG(12:0_16:4_16:4)+NH4,928.615,487.3782,407.2064,305.2112,257.2112,231.1754
AcylGlcADG(12:0_16:4_18:0)+NH4,964.7089,487.3782,443.3003,305.2112,257.2112,267.2693
AcylGlcADG(12:0_16:4_18:1)+NH4,962.6932,487.3782,441.2847,305.2112,257.2112,265.2537
AcylGlcADG(12:0_16:4_18:2)+NH4,960.6776,487.3782,439.269,305.2112,257.2112,263.238
AcylGlcADG(12:0_16:4_18:3)+NH4,958.6619,487.3782,437.2534,305.2112,257.2112,261.2224
AcylGlcADG(12:0_16:4_18:4)+NH4,956.6463,487.3782,435.2377,305.2112,257.2112,259.2067
AcylGlcADG(12:0_16:4_18:5)+NH4,954.6307,487.3782,433.2221,305.2112,257.2112,257.1911
AcylGlcADG(12:0_16:4_20:0)+NH4,992.7402,487.3782,471.3316,305.2112,257.2112,295.3006
AcylGlcADG(12:0_16:4_20:1)+NH4,990.7245,487.3782,469.316,305.2112,257.2112,293.285
AcylGlcADG(12:0_16:4_20:2)+NH4,988.7089,487.3782,467.3003,305.2112,257.2112,291.2693
AcylGlcADG(12:0_16:4_20:3)+NH4,986.6932,487.3782,465.2847,305.2112,257.2112,289.2537
AcylGlcADG(12:0_16:4_20:4)+NH4,984.6776,487.3782,463.269,305.2112,257.2112,287.238
AcylGlcADG(12:0_16:4_20:5)+NH4,982.6619,487.3782,461.2534,305.2112,257.2112,285.2224
AcylGlcADG(12:0_16:4_22:0)+NH4,1020.771,487.3782,499.3629,305.2112,257.2112,323.3319
AcylGlcADG(12:0_16:4_22:1)+NH4,1018.756,487.3782,497.3473,305.2112,257.2112,321.3163
AcylGlcADG(12:0_16:4_22:2)+NH4,1016.74,487.3782,495.3316,305.2112,257.2112,319.3006
AcylGlcADG(12:0_16:4_22:3)+NH4,1014.725,487.3782,493.316,305.2112,257.2112,317.285
AcylGlcADG(12:0_16:4_22:4)+NH4,1012.709,487.3782,491.3003,305.2112,257.2112,315.2693
AcylGlcADG(12:0_16:4_22:5)+NH4,1010.693,487.3782,489.2847,305.2112,257.2112,313.2537
AcylGlcADG(12:0_16:4_22:6)+NH4,1008.678,487.3782,487.269,305.2112,257.2112,311.238
AcylGlcADG(12:0_18:0_12:0)+NH4,916.7089,523.4721,359.2064,341.3051,257.2112,183.1754
AcylGlcADG(12:0_18:0_14:0)+NH4,944.7402,523.4721,387.2377,341.3051,257.2112,211.2067
AcylGlcADG(12:0_18:0_14:1)+NH4,942.7245,523.4721,385.2221,341.3051,257.2112,209.1911
AcylGlcADG(12:0_18:0_16:0)+NH4,972.7715,523.4721,415.269,341.3051,257.2112,239.238
AcylGlcADG(12:0_18:0_16:1)+NH4,970.7559,523.4721,413.2534,341.3051,257.2112,237.2224
AcylGlcADG(12:0_18:0_16:2)+NH4,968.7402,523.4721,411.2377,341.3051,257.2112,235.2067
AcylGlcADG(12:0_18:0_16:3)+NH4,966.7245,523.4721,409.2221,341.3051,257.2112,233.1911
AcylGlcADG(12:0_18:0_16:4)+NH4,964.7089,523.4721,407.2064,341.3051,257.2112,231.1754
AcylGlcADG(12:0_18:0_18:0)+NH4,1000.803,523.4721,443.3003,341.3051,257.2112,267.2693
AcylGlcADG(12:0_18:0_18:1)+NH4,998.7872,523.4721,441.2847,341.3051,257.2112,265.2537
AcylGlcADG(12:0_18:0_18:2)+NH4,996.7715,523.4721,439.269,341.3051,257.2112,263.238
AcylGlcADG(12:0_18:0_18:3)+NH4,994.7559,523.4721,437.2534,341.3051,257.2112,261.2224
AcylGlcADG(12:0_18:0_18:4)+NH4,992.7402,523.4721,435.2377,341.3051,257.2112,259.2067
AcylGlcADG(12:0_18:0_18:5)+NH4,990.7245,523.4721,433.2221,341.3051,257.2112,257.1911
AcylGlcADG(12:0_18:0_20:0)+NH4,1028.834,523.4721,471.3316,341.3051,257.2112,295.3006
AcylGlcADG(12:0_18:0_20:1)+NH4,1026.818,523.4721,469.316,341.3051,257.2112,293.285
AcylGlcADG(12:0_18:0_20:2)+NH4,1024.803,523.4721,467.3003,341.3051,257.2112,291.2693
AcylGlcADG(12:0_18:0_20:3)+NH4,1022.787,523.4721,465.2847,341.3051,257.2112,289.2537
AcylGlcADG(12:0_18:0_20:4)+NH4,1020.771,523.4721,463.269,341.3051,257.2112,287.238
AcylGlcADG(12:0_18:0_20:5)+NH4,1018.756,523.4721,461.2534,341.3051,257.2112,285.2224
AcylGlcADG(12:0_18:0_22:0)+NH4,1056.865,523.4721,499.3629,341.3051,257.2112,323.3319
AcylGlcADG(12:0_18:0_22:1)+NH4,1054.85,523.4721,497.3473,341.3051,257.2112,321.3163
AcylGlcADG(12:0_18:0_22:2)+NH4,1052.834,523.4721,495.3316,341.3051,257.2112,319.3006
AcylGlcADG(12:0_18:0_22:3)+NH4,1050.818,523.4721,493.316,341.3051,257.2112,317.285
AcylGlcADG(12:0_18:0_22:4)+NH4,1048.803,523.4721,491.3003,341.3051,257.2112,315.2693
AcylGlcADG(12:0_18:0_22:5)+NH4,1046.787,523.4721,489.2847,341.3051,257.2112,313.2537
AcylGlcADG(12:0_18:0_22:6)+NH4,1044.771,523.4721,487.269,341.3051,257.2112,311.238
AcylGlcADG(12:0_18:1_12:0)+NH4,914.6932,521.4564,359.2064,339.2894,257.2112,183.1754
AcylGlcADG(12:0_18:1_14:0)+NH4,942.7245,521.4564,387.2377,339.2894,257.2112,211.2067
AcylGlcADG(12:0_18:1_14:1)+NH4,940.7089,521.4564,385.2221,339.2894,257.2112,209.1911
AcylGlcADG(12:0_18:1_16:0)+NH4,970.7559,521.4564,415.269,339.2894,257.2112,239.238
AcylGlcADG(12:0_18:1_16:1)+NH4,968.7402,521.4564,413.2534,339.2894,257.2112,237.2224
