ether-TG,[M+NH4]+,NL R2COOH,NL R3COOH,RCO_2,RCO_3,RCO2+74.0368,RCO3+74.0368,RCO2+74-H2O,RCO3+74-H2O
plasmenyl-TG(P-16:0_12:0_18:1)+NH4,778.7284,561.5241,479.4458,183.17434,265.25264,257.2111364,339.2894364,239.2005714,321.2788714
plasmenyl-TG(P-16:0_12:0_18:2)+NH4,776.7127,559.5084,479.4458,183.17434,263.23694,257.2111364,337.2737364,239.2005714,319.2631714
plasmenyl-TG(P-16:0_12:0_18:3)+NH4,774.6971,557.4928,479.4458,183.17434,261.22134,257.2111364,335.2581364,239.2005714,317.2475714
plasmenyl-TG(P-16:0_12:0_18:4)+NH4,772.6814,555.4771,479.4458,183.17434,259.20564,257.2111364,333.2424364,239.2005714,315.2318714
plasmenyl-TG(P-16:0_12:0_19:0)+NH4,794.7597,577.5554,479.4458,183.17434,281.28394,257.2111364,355.3207364,239.2005714,337.3101714
plasmenyl-TG(P-16:0_12:0_20:0)+NH4,808.7753,591.571,479.4458,183.17434,295.29954,257.2111364,369.3363364,239.2005714,351.3257714
plasmenyl-TG(P-16:0_12:0_20:1)+NH4,806.7597,589.5554,479.4458,183.17434,293.28394,257.2111364,367.3207364,239.2005714,349.3101714
plasmenyl-TG(P-16:0_12:0_20:2)+NH4,804.744,587.5397,479.4458,183.17434,291.26824,257.2111364,365.3050364,239.2005714,347.2944714
plasmenyl-TG(P-16:0_12:0_20:3)+NH4,802.7284,585.5241,479.4458,183.17434,289.25264,257.2111364,363.2894364,239.2005714,345.2788714
plasmenyl-TG(P-16:0_12:0_20:4)+NH4,800.7127,583.5084,479.4458,183.17434,287.23694,257.2111364,361.2737364,239.2005714,343.2631714
plasmenyl-TG(P-16:0_12:0_20:5)+NH4,798.6971,581.4928,479.4458,183.17434,285.22134,257.2111364,359.2581364,239.2005714,341.2475714
plasmenyl-TG(P-16:0_12:0_21:0)+NH4,822.791,605.5867,479.4458,183.17434,309.31524,257.2111364,383.3520364,239.2005714,365.3414714
plasmenyl-TG(P-16:0_12:0_22:0)+NH4,836.8066,619.6023,479.4458,183.17434,323.33084,257.2111364,397.3676364,239.2005714,379.3570714
plasmenyl-TG(P-16:0_12:0_22:1)+NH4,834.791,617.5867,479.4458,183.17434,321.31524,257.2111364,395.3520364,239.2005714,377.3414714
plasmenyl-TG(P-16:0_12:0_22:2)+NH4,832.7753,615.571,479.4458,183.17434,319.29954,257.2111364,393.3363364,239.2005714,375.3257714
plasmenyl-TG(P-16:0_12:0_22:3)+NH4,830.7597,613.5554,479.4458,183.17434,317.28394,257.2111364,391.3207364,239.2005714,373.3101714
plasmenyl-TG(P-16:0_12:0_22:4)+NH4,828.744,611.5397,479.4458,183.17434,315.26824,257.2111364,389.3050364,239.2005714,371.2944714
plasmenyl-TG(P-16:0_12:0_22:5)+NH4,826.7284,609.5241,479.4458,183.17434,313.25264,257.2111364,387.2894364,239.2005714,369.2788714
plasmenyl-TG(P-16:0_12:0_22:6)+NH4,824.7127,607.5084,479.4458,183.17434,311.23694,257.2111364,385.2737364,239.2005714,367.2631714
plasmenyl-TG(P-16:0_12:0_23:0)+NH4,850.8223,633.618,479.4458,183.17434,337.34654,257.2111364,411.3833364,239.2005714,393.3727714
plasmenyl-TG(P-16:0_12:0_24:0)+NH4,864.8379,647.6336,479.4458,183.17434,351.36214,257.2111364,425.3989364,239.2005714,407.3883714
plasmenyl-TG(P-16:0_12:0_24:1)+NH4,862.8223,645.618,479.4458,183.17434,349.34654,257.2111364,423.3833364,239.2005714,405.3727714
plasmenyl-TG(P-16:0_12:0_25:0)+NH4,878.8536,661.6493,479.4458,183.17434,365.37784,257.2111364,439.4146364,239.2005714,421.4040714
plasmenyl-TG(P-16:0_12:0_26:0)+NH4,892.8692,675.6649,479.4458,183.17434,379.39344,257.2111364,453.4302364,239.2005714,435.4196714
plasmenyl-TG(P-16:0_13:0_13:0)+NH4,724.6815,493.4615,493.4615,197.19004,197.19004,271.2268364,271.2268364,253.2162714,253.2162714
plasmenyl-TG(P-16:0_13:0_14:0)+NH4,738.6971,507.4771,493.4615,197.19004,211.20564,271.2268364,285.2424364,253.2162714,267.2318714
plasmenyl-TG(P-16:0_13:0_14:1)+NH4,736.6815,505.4615,493.4615,197.19004,209.19004,271.2268364,283.2268364,253.2162714,265.2162714
plasmenyl-TG(P-16:0_13:0_15:0)+NH4,752.7128,521.4928,493.4615,197.19004,225.22134,271.2268364,299.2581364,253.2162714,281.2475714
plasmenyl-TG(P-16:0_13:0_15:1)+NH4,750.6971,519.4771,493.4615,197.19004,223.20564,271.2268364,297.2424364,253.2162714,279.2318714
plasmenyl-TG(P-16:0_13:0_16:0)+NH4,766.7284,535.5084,493.4615,197.19004,239.23694,271.2268364,313.2737364,253.2162714,295.2631714
plasmenyl-TG(P-16:0_13:0_16:1)+NH4,764.7128,533.4928,493.4615,197.19004,237.22134,271.2268364,311.2581364,253.2162714,293.2475714
plasmenyl-TG(P-16:0_13:0_17:0)+NH4,780.7441,549.5241,493.4615,197.19004,253.25264,271.2268364,327.2894364,253.2162714,309.2788714
plasmenyl-TG(P-16:0_13:0_17:1)+NH4,778.7284,547.5084,493.4615,197.19004,251.23694,271.2268364,325.2737364,253.2162714,307.2631714
plasmenyl-TG(P-16:0_13:0_17:2)+NH4,776.7128,545.4928,493.4615,197.19004,249.22134,271.2268364,323.2581364,253.2162714,305.2475714
plasmenyl-TG(P-16:0_13:0_18:0)+NH4,794.7597,563.5397,493.4615,197.19004,267.26824,271.2268364,341.3050364,253.2162714,323.2944714
plasmenyl-TG(P-16:0_13:0_18:1)+NH4,792.7441,561.5241,493.4615,197.19004,265.25264,271.2268364,339.2894364,253.2162714,321.2788714
plasmenyl-TG(P-16:0_13:0_18:2)+NH4,790.7284,559.5084,493.4615,197.19004,263.23694,271.2268364,337.2737364,253.2162714,319.2631714
plasmenyl-TG(P-16:0_13:0_18:3)+NH4,788.7128,557.4928,493.4615,197.19004,261.22134,271.2268364,335.2581364,253.2162714,317.2475714
plasmenyl-TG(P-16:0_13:0_18:4)+NH4,786.6971,555.4771,493.4615,197.19004,259.20564,271.2268364,333.2424364,253.2162714,315.2318714
plasmenyl-TG(P-16:0_13:0_19:0)+NH4,808.7754,577.5554,493.4615,197.19004,281.28394,271.2268364,355.3207364,253.2162714,337.3101714
plasmenyl-TG(P-16:0_13:0_20:0)+NH4,822.791,591.571,493.4615,197.19004,295.29954,271.2268364,369.3363364,253.2162714,351.3257714
plasmenyl-TG(P-16:0_13:0_20:1)+NH4,820.7754,589.5554,493.4615,197.19004,293.28394,271.2268364,367.3207364,253.2162714,349.3101714
plasmenyl-TG(P-16:0_13:0_20:2)+NH4,818.7597,587.5397,493.4615,197.19004,291.26824,271.2268364,365.3050364,253.2162714,347.2944714
plasmenyl-TG(P-16:0_13:0_20:3)+NH4,816.7441,585.5241,493.4615,197.19004,289.25264,271.2268364,363.2894364,253.2162714,345.2788714
plasmenyl-TG(P-16:0_13:0_20:4)+NH4,814.7284,583.5084,493.4615,197.19004,287.23694,271.2268364,361.2737364,253.2162714,343.2631714
plasmenyl-TG(P-16:0_13:0_20:5)+NH4,812.7128,581.4928,493.4615,197.19004,285.22134,271.2268364,359.2581364,253.2162714,341.2475714
plasmenyl-TG(P-16:0_13:0_21:0)+NH4,836.8067,605.5867,493.4615,197.19004,309.31524,271.2268364,383.3520364,253.2162714,365.3414714
plasmenyl-TG(P-16:0_13:0_22:0)+NH4,850.8223,619.6023,493.4615,197.19004,323.33084,271.2268364,397.3676364,253.2162714,379.3570714
plasmenyl-TG(P-16:0_13:0_22:1)+NH4,848.8067,617.5867,493.4615,197.19004,321.31524,271.2268364,395.3520364,253.2162714,377.3414714
plasmenyl-TG(P-16:0_13:0_22:2)+NH4,846.791,615.571,493.4615,197.19004,319.29954,271.2268364,393.3363364,253.2162714,375.3257714
plasmenyl-TG(P-16:0_13:0_22:3)+NH4,844.7754,613.5554,493.4615,197.19004,317.28394,271.2268364,391.3207364,253.2162714,373.3101714
plasmenyl-TG(P-16:0_13:0_22:4)+NH4,842.7597,611.5397,493.4615,197.19004,315.26824,271.2268364,389.3050364,253.2162714,371.2944714
plasmenyl-TG(P-16:0_13:0_22:5)+NH4,840.7441,609.5241,493.4615,197.19004,313.25264,271.2268364,387.2894364,253.2162714,369.2788714
plasmenyl-TG(P-16:0_13:0_22:6)+NH4,838.7284,607.5084,493.4615,197.19004,311.23694,271.2268364,385.2737364,253.2162714,367.2631714
plasmenyl-TG(P-16:0_13:0_23:0)+NH4,864.838,633.618,493.4615,197.19004,337.34654,271.2268364,411.3833364,253.2162714,393.3727714
plasmenyl-TG(P-16:0_13:0_24:0)+NH4,878.8536,647.6336,493.4615,197.19004,351.36214,271.2268364,425.3989364,253.2162714,407.3883714
plasmenyl-TG(P-16:0_13:0_24:1)+NH4,876.838,645.618,493.4615,197.19004,349.34654,271.2268364,423.3833364,253.2162714,405.3727714
plasmenyl-TG(P-16:0_13:0_25:0)+NH4,892.8693,661.6493,493.4615,197.19004,365.37784,271.2268364,439.4146364,253.2162714,421.4040714
plasmenyl-TG(P-16:0_13:0_26:0)+NH4,906.8849,675.6649,493.4615,197.19004,379.39344,271.2268364,453.4302364,253.2162714,435.4196714
plasmenyl-TG(P-16:0_14:0_14:0)+NH4,752.7127,507.4771,507.4771,211.20564,211.20564,285.2424364,285.2424364,267.2318714,267.2318714
plasmenyl-TG(P-16:0_14:0_14:1)+NH4,750.6971,505.4615,507.4771,211.20564,209.19004,285.2424364,283.2268364,267.2318714,265.2162714
plasmenyl-TG(P-16:0_14:0_15:0)+NH4,766.7284,521.4928,507.4771,211.20564,225.22134,285.2424364,299.2581364,267.2318714,281.2475714
plasmenyl-TG(P-16:0_14:0_15:1)+NH4,764.7127,519.4771,507.4771,211.20564,223.20564,285.2424364,297.2424364,267.2318714,279.2318714
plasmenyl-TG(P-16:0_14:0_16:0)+NH4,780.744,535.5084,507.4771,211.20564,239.23694,285.2424364,313.2737364,267.2318714,295.2631714
plasmenyl-TG(P-16:0_14:0_16:1)+NH4,778.7284,533.4928,507.4771,211.20564,237.22134,285.2424364,311.2581364,267.2318714,293.2475714
plasmenyl-TG(P-16:0_14:0_17:0)+NH4,794.7597,549.5241,507.4771,211.20564,253.25264,285.2424364,327.2894364,267.2318714,309.2788714
plasmenyl-TG(P-16:0_14:0_17:1)+NH4,792.744,547.5084,507.4771,211.20564,251.23694,285.2424364,325.2737364,267.2318714,307.2631714
plasmenyl-TG(P-16:0_14:0_17:2)+NH4,790.7284,545.4928,507.4771,211.20564,249.22134,285.2424364,323.2581364,267.2318714,305.2475714
plasmenyl-TG(P-16:0_14:0_18:0)+NH4,808.7753,563.5397,507.4771,211.20564,267.26824,285.2424364,341.3050364,267.2318714,323.2944714
plasmenyl-TG(P-16:0_14:0_18:1)+NH4,806.7597,561.5241,507.4771,211.20564,265.25264,285.2424364,339.2894364,267.2318714,321.2788714
plasmenyl-TG(P-16:0_14:0_18:2)+NH4,804.744,559.5084,507.4771,211.20564,263.23694,285.2424364,337.2737364,267.2318714,319.2631714
plasmenyl-TG(P-16:0_14:0_18:3)+NH4,802.7284,557.4928,507.4771,211.20564,261.22134,285.2424364,335.2581364,267.2318714,317.2475714
plasmenyl-TG(P-16:0_14:0_18:4)+NH4,800.7127,555.4771,507.4771,211.20564,259.20564,285.2424364,333.2424364,267.2318714,315.2318714
plasmenyl-TG(P-16:0_14:0_19:0)+NH4,822.791,577.5554,507.4771,211.20564,281.28394,285.2424364,355.3207364,267.2318714,337.3101714
plasmenyl-TG(P-16:0_14:0_20:0)+NH4,836.8066,591.571,507.4771,211.20564,295.29954,285.2424364,369.3363364,267.2318714,351.3257714
plasmenyl-TG(P-16:0_14:0_20:1)+NH4,834.791,589.5554,507.4771,211.20564,293.28394,285.2424364,367.3207364,267.2318714,349.3101714
plasmenyl-TG(P-16:0_14:0_20:2)+NH4,832.7753,587.5397,507.4771,211.20564,291.26824,285.2424364,365.3050364,267.2318714,347.2944714
plasmenyl-TG(P-16:0_14:0_20:3)+NH4,830.7597,585.5241,507.4771,211.20564,289.25264,285.2424364,363.2894364,267.2318714,345.2788714
plasmenyl-TG(P-16:0_14:0_20:4)+NH4,828.744,583.5084,507.4771,211.20564,287.23694,285.2424364,361.2737364,267.2318714,343.2631714
plasmenyl-TG(P-16:0_14:0_20:5)+NH4,826.7284,581.4928,507.4771,211.20564,285.22134,285.2424364,359.2581364,267.2318714,341.2475714
plasmenyl-TG(P-16:0_14:0_21:0)+NH4,850.8223,605.5867,507.4771,211.20564,309.31524,285.2424364,383.3520364,267.2318714,365.3414714
plasmenyl-TG(P-16:0_14:0_22:0)+NH4,864.8379,619.6023,507.4771,211.20564,323.33084,285.2424364,397.3676364,267.2318714,379.3570714
plasmenyl-TG(P-16:0_14:0_22:1)+NH4,862.8223,617.5867,507.4771,211.20564,321.31524,285.2424364,395.3520364,267.2318714,377.3414714
plasmenyl-TG(P-16:0_14:0_22:2)+NH4,860.8066,615.571,507.4771,211.20564,319.29954,285.2424364,393.3363364,267.2318714,375.3257714
plasmenyl-TG(P-16:0_14:0_22:3)+NH4,858.791,613.5554,507.4771,211.20564,317.28394,285.2424364,391.3207364,267.2318714,373.3101714
plasmenyl-TG(P-16:0_14:0_22:4)+NH4,856.7753,611.5397,507.4771,211.20564,315.26824,285.2424364,389.3050364,267.2318714,371.2944714
plasmenyl-TG(P-16:0_14:0_22:5)+NH4,854.7597,609.5241,507.4771,211.20564,313.25264,285.2424364,387.2894364,267.2318714,369.2788714
plasmenyl-TG(P-16:0_14:0_22:6)+NH4,852.744,607.5084,507.4771,211.20564,311.23694,285.2424364,385.2737364,267.2318714,367.2631714
plasmenyl-TG(P-16:0_14:0_23:0)+NH4,878.8536,633.618,507.4771,211.20564,337.34654,285.2424364,411.3833364,267.2318714,393.3727714
plasmenyl-TG(P-16:0_14:0_24:0)+NH4,892.8692,647.6336,507.4771,211.20564,351.36214,285.2424364,425.3989364,267.2318714,407.3883714
